"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cre05.g243450.t2.1.v5.5",1665.7053423801,-2.19639647777022,0.332856007419626,-3.59433644309126,0.000325219366415726,0.0386618318905538
"Cre06.g252200.t1.2.v5.5",140.977046998959,-2.3632137800335,0.322940861645465,-4.22124897136764,2.42952412594354e-05,0.00437379129979862
"Cre12.g505050.t1.2.v5.5",296.734907875276,-2.69400879289513,0.454798290743848,-3.72474749217832,0.00019551082046129,0.0256290009501781
"Cre06.g300700.t1.1.v5.5",106.070887742838,-2.88657429309211,0.426800426690325,-4.42027274368438,9.8576404605007e-06,0.00195708579561232
"Cre06.g309000.t1.2.v5.5",279.338952203689,-2.90268493231203,0.533039423093129,-3.56950133495023,0.000357661395085299,0.0412747363798437
"Cre17.g705700.t1.2.v5.5",166.108863591003,-3.10951599254982,0.457723513304025,-4.60871231482631,4.05170493559676e-06,0.000927222373566566
"Cre10.g431000.t1.1.v5.5",45.3864010130432,-3.69198926032783,0.758517736204163,-3.54901293910319,0.000386678079383642,0.0438733397297305
"Cre08.g367500.t1.1.v5.5",383.548892165634,-3.80176424278614,0.798536995931911,-3.50862171328257,0.000450435078521744,0.0498506100836114
"Cre08.g365851.t1.1.v5.5",24.8837445881976,-3.99211398787586,0.836711764040014,-3.57603910506602,0.000348839493003538,0.0406037140908084
"Cre08.g367400.t1.1.v5.5",510.985272066865,-4.3789271876569,0.820392067036914,-4.1186736481508,3.81059363398132e-05,0.00643132940575198
"Cre42.g760347.t1.1.v5.5",96.378890367679,-4.41320379222454,0.912132751684589,-3.74200332782788,0.000182559097219404,0.0244676494324894
"Cre11.g467653.t1.1.v5.5",150.872556509158,-4.55870311685557,0.644285198788785,-5.52349041006329,3.32330439211934e-08,1.5472846862895e-05
"Cre12.g552300.t1.2.v5.5",29.5415444763203,-4.77574253135983,0.854291464164235,-4.41973575734329,9.88216607399881e-06,0.00195708579561232
"Cre07.g325760.t1.1.v5.5",78.9749085052161,-4.77654646809469,0.710766641352129,-5.31334231008698,1.07632578102919e-07,4.03681963762669e-05
"Cre03.g162800.t1.2.v5.5",407.465231704103,-4.79295440555805,1.07392110695817,-3.53187434438401,0.000412625375880255,0.0460435357449191
"Cre05.g235950.t1.2.v5.5",96.7954382673694,-5.03423882523321,1.12283848396593,-3.5928932636723,0.000327026568270626,0.0386618318905538
"Cre01.g053150.t2.1.v5.5",852.793474952246,-5.03467800751947,0.881325594251657,-4.57796532159645,4.69520505043583e-06,0.00103925669821286
"Cre04.g213950.t1.1.v5.5",12.8542092445604,-5.0907729485194,1.08559222460031,-3.7682408328095,0.000164402052522783,0.0226505766649247
"Cre14.g608275.t1.1.v5.5",25.2535089279388,-5.14701897425117,1.12826796193505,-3.67556211304518,0.000237326289023037,0.0296701810591578
"Cre11.g469550.t1.2.v5.5",208.233520400456,-5.88897157790748,1.1086168550306,-4.40997406427896,1.03383000322494e-05,0.00199411038622045
"Cre03.g177800.t1.1.v5.5",13.7456791829268,-6.32967305957888,1.38033770836555,-3.86113704441915,0.000112860574427474,0.0158733695408308
"Cre01.g006900.t2.1.v5.5",12.1848713456639,-6.54212391200772,1.47349558526496,-3.76120835883681,0.00016909449856459,0.0230617567638293
"Cre09.g404201.t1.1.v5.5",119.453343623289,-6.8007455635225,0.628728830052466,-9.22614851785695,2.80538075642836e-20,3.78782509732957e-16
"Cre14.g618600.t3.1.v5.5",15.1453396039208,-6.93541937293558,1.38643725035361,-4.28105878677289,1.86006208838138e-05,0.003393859232071
"Cre12.g554450.t2.1.v5.5",15.1568996382364,-7.05584760027554,1.25941571687118,-4.80845801680188,1.5209896291445e-06,0.000380303740235351
"Cre14.g615400.t1.2.v5.5",27.9576282385352,-7.23794440551648,1.26761257413009,-4.92101808772078,8.60951724253714e-07,0.000232832464683943
"Cre01.g047050.t1.2.v5.5",22.2706589783453,-7.33924040990807,1.61163176492304,-3.93342979946215,8.37423040463775e-05,0.0124251493322438
"Cre12.g531000.t1.2.v5.5",19.1845670895662,-7.38711851648243,1.27497805888596,-5.00959092744176,5.45458513187924e-07,0.000167381382842349
"Cre13.g574850.t2.1.v5.5",17.0586587961156,-7.42569489227722,1.18697194384858,-5.4135187656103,6.17981145354921e-08,2.45411218370063e-05
"Cre05.g234892.t2.1.v5.5",18.4298328271477,-7.4712192638965,1.13692361467127,-5.69186810827882,1.2565690434444e-08,6.28377600910605e-06
"Cre06.g281600.t2.1.v5.5",245.450529705366,-7.86687701474646,1.25185198264509,-5.48537455701205,4.12594255831921e-08,1.79704762652987e-05
"Cre06.g271750.t2.1.v5.5",31.252212927023,-8.24905167224552,1.11676744243934,-6.49110226244733,8.52106124335937e-11,5.34170908290343e-08
"Cre16.g651050.t1.2.v5.5",56.5910105117773,-8.77207827581094,0.958635045955949,-8.10744225197885,5.16964240246916e-16,1.39601023436277e-12
"Cre08.g365825.t1.1.v5.5",41.1575701852201,-8.79769559296562,1.05487649583191,-7.39204601086129,1.44586472434321e-13,2.16911838978689e-10
"Cre08.g379187.t1.1.v5.5",116.116594171562,-10.2522843547499,1.02897956517232,-8.99170855079171,2.43416483170282e-19,1.64330467788257e-15
