"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cre17.g742250.t1.1.v5.5",95.4756023853426,26.06690174293,3.38478267453239,7.40576401892421,1.30397531617761e-13,2.16911838978689e-10
"Cre12.g525450.t1.1.v5.5",98.0597773301086,25.372724052839,3.38474524129962,7.20075583693878,5.98796901428516e-13,7.34995978462529e-10
"Cre03.g207600.t1.2.v5.5",73.5713351330632,24.1867287034756,3.38520110808006,6.84943906231499,7.41401220477888e-12,6.25649954930778e-09
"Cre06.g249500.t1.1.v5.5",72.2647789357605,24.1571375650344,3.3852340068815,6.84063125856604,7.88449666129623e-12,6.26214552475422e-09
"Cre01.g004124.t1.1.v5.5",69.8319353969597,24.1079275585789,3.38529855174902,6.82596444754929,8.73365587497895e-12,6.55121231244254e-09
"Cre03.g199050.t1.2.v5.5",221.658251762509,10.1403880719358,2.48127016292952,3.68375367120207,0.000229824346308387,0.0290008254565967
"Cre09.g413350.t1.1.v5.5",104.676805567272,10.1099956306811,1.23604450047029,7.37028126998256,1.70268412992799e-13,2.29896411222877e-10
"Cre08.g379150.t1.2.v5.5",103.821701038468,10.0188047457882,1.28033043088375,7.04412277349604,1.86633532558749e-12,1.93840458200633e-09
"Cre07.g327950.t1.1.v5.5",64.6660278418494,9.88670218105359,1.7512686191874,5.07443694456028,3.88645078036807e-07,0.000122034554503557
"Cre01.g063997.t1.1.v5.5",74.5219263021484,9.76856944030713,1.02034865217054,8.59369924354208,8.42132710927972e-18,3.79015862098316e-14
"Cre06.g263200.t1.1.v5.5",77.0614128785682,9.76650171456395,1.14228649563387,7.67452101383663,1.66037903497275e-14,3.20263396145744e-11
"Cre07.g334150.t1.1.v5.5",90.493577295202,9.59981595941489,1.03214654440527,8.33197185615743,7.95068516022128e-17,2.68375377583269e-13
"Cre03.g204500.t1.1.v5.5",149.615384831531,9.59389611900285,2.39311361712097,3.59109406988446,0.000329292746808894,0.0386618318905538
"Cre16.g661200.t1.2.v5.5",48.6327817477691,8.89485046846355,1.37823079538643,5.72824993817527,1.01471989779232e-08,5.26951848461226e-06
"Cre02.g120250.t2.1.v5.5",38.5717898472055,8.87907771124057,0.991478790600958,7.94679400702549,1.91400286604165e-15,4.30714444954906e-12
"Cre13.g562150.t1.2.v5.5",85.5670048669499,8.82646501420399,1.52666542583819,5.12650963449115,2.95162958911495e-07,9.50873591146738e-05
"Cre16.g654250.t1.2.v5.5",37.1551311583461,8.70236351564681,1.08878672802709,7.07426286285073,1.50245250975872e-12,1.69050948223019e-09
"Cre16.g676533.t2.1.v5.5",30.722190696092,8.42951460131754,1.08122403449552,6.8713923888901,6.35782435957138e-12,5.72288963352885e-09
"Cre07.g325724.t2.1.v5.5",26.3741268851246,8.18793542677011,1.0992784834081,6.53877569265736,6.20244662566026e-11,4.18727171698324e-08
"Cre06.g252743.t1.2.v5.5",314.837337519483,8.11386547693393,1.92330479397212,3.69877176993979,0.000216645297048724,0.0278585219119226
"Cre07.g339200.t2.1.v5.5",24.3216257884322,8.10447282450075,1.07707880849705,6.59605663806001,4.22237673837472e-11,3.00055424850187e-08
"Cre14.g616050.t1.1.v5.5",37.4139453456167,7.9343466478586,1.56987139998914,4.41714311624925,1.00014012662754e-05,0.00195708579561232
"Cre12.g544450.t1.2.v5.5",57.7907965706416,7.85618971996225,1.5413832734908,4.44807585360319,8.6642934945101e-06,0.00179977370404424
"Cre03.g159254.t1.2.v5.5",50.2355613399331,7.77643454637319,1.6642190449385,4.07184052302659,4.66431109871915e-05,0.00768018639693975
"Cre13.g576550.t1.2.v5.5",20.8834857786626,7.73779292084318,1.19995226982637,5.61505077349296,1.96504535566586e-08,9.47572942578587e-06
"Cre03.g209953.t2.1.v5.5",21.2379907024318,7.68157131538683,1.28730750709877,5.19034595738915,2.0990371366457e-07,7.45821037341848e-05
"Cre06.g273100.t1.1.v5.5",17.3831791075775,7.63541777688528,1.10994885705046,5.97812929373882,2.2571456240512e-09,1.21903920863757e-06
"Cre17.g719600.t1.2.v5.5",20.8015203733259,7.51689143517337,1.44750596354797,4.50215170043229,6.72689379257231e-06,0.00144169079344939
"Cre16.g687630.t1.1.v5.5",17.5970882180288,7.50637690045587,1.19331906632277,5.45233633156084,4.97123194149504e-08,2.09754917731456e-05
"Cre06.g253000.t1.1.v5.5",66.8163740580405,7.4391973212447,1.66282981188581,3.8724331709822,0.000107754226513206,0.0154776336849075
"Cre03.g154425.t1.1.v5.5",17.7584729577609,7.41477168186476,1.29758130760262,4.94363755417882,7.66782024539771e-07,0.000215689393652833
"Cre02.g086887.t1.1.v5.5",18.9667048977269,7.37074337056442,1.45894587742065,4.3666756040516,1.26151871369335e-05,0.00236569801003994
"Cre09.g405100.t1.1.v5.5",27.7236676793802,7.36126529133491,1.70138095132314,3.73888357359817,0.000184839301000883,0.0244676494324894
"Cre09.g398051.t1.1.v5.5",15.9334605404246,7.28049177752596,1.2649779014493,4.96490236733013,6.8735639620055e-07,0.000206237468033329
"Cre06.g278093.t1.1.v5.5",14.2513717911703,7.24575443634939,1.17095155047266,5.33391363103645,9.61182547138437e-08,3.70796764327519e-05
"Cre08.g370200.t1.2.v5.5",13.9200047344525,7.24112985880404,1.21751678457724,5.12611401983354,2.95783519687179e-07,9.50873591146738e-05
"Cre14.g615350.t1.2.v5.5",17.7977233897146,7.2105565547607,1.72110701635509,3.60846623466404,0.000308012592405541,0.0374200599639993
"Cre15.g636550.t2.1.v5.5",16.5308487947028,7.1033788768567,1.72727810567537,3.53352413650277,0.000410058646284044,0.0460435357449191
"Cre02.g110050.t2.1.v5.5",12.4507304672035,7.05788269808693,1.22385584821926,4.94983351748599,7.42769908997339e-07,0.000215425470349232
"Cre01.g012650.t1.1.v5.5",24.8591124184219,7.01273554185553,1.66036213642336,3.62133983301243,0.00029308123003795,0.0359743887997491
"Cre03.g154100.t2.1.v5.5",13.1782745986257,7.01067741723151,1.26239567237659,4.76132606341704,1.9232501840898e-06,0.000472140436101463
"Cre02.g081850.t1.1.v5.5",11.8574332677051,7.00015694649136,1.23301893952467,4.86623258909909,1.13745647785577e-06,0.000301136026745267
"Cre15.g641527.t2.1.v5.5",12.9098810918775,6.98751491189352,1.3388022094338,4.47229237426023,7.73855229628103e-06,0.00163259270475604
"Cre06.g278250.t2.1.v5.5",11.4451991050552,6.92961024034023,1.30143255768373,4.5562178426623,5.20829213212792e-06,0.00113423161883857
"Cre02.g117376.t1.1.v5.5",13.8976815465465,6.92307104130468,1.43792657863986,4.11917487950417,3.8023149978816e-05,0.00643132940575198
"Cre02.g086456.t2.1.v5.5",11.8449181686266,6.88162901836285,1.2597004154039,4.66906968231568,3.02566748277938e-06,0.000716711620219074
"Cre06.g301900.t2.1.v5.5",10.5201895306022,6.75939416562379,1.24288280973642,4.63389960864066,3.58841064141856e-06,0.000835357249662645
"Cre06.g260700.t1.2.v5.5",372.549874441069,6.75116606314664,1.16876248860996,4.9207312171583,8.62214726277376e-07,0.000232832464683943
"Cre04.g225100.t1.1.v5.5",12.1245622730519,6.70631550877583,1.45839378033971,3.91273988253476,9.1254814753665e-05,0.0133141517020875
"Cre13.g568350.t1.1.v5.5",10.7708834832058,6.67310510995877,1.31042745351007,4.32920196746716,1.49650643376217e-05,0.002767921899816
"Cre12.g488150.t1.1.v5.5",13.7265553100738,6.66323647723141,1.17461799881918,4.82134317959079,1.42594797580852e-06,0.000363266973006917
"Cre04.g225776.t1.1.v5.5",11.0805044005348,6.55997614790717,1.47108812379245,3.77949903747004,0.000157144200790017,0.0218738247326475
"Cre02.g144400.t2.1.v5.5",10.6676999445922,6.54116091651249,1.43510010812432,3.86116681696499,0.000112846820787712,0.0158733695408308
"Cre12.g541211.t3.1.v5.5",9.58587967623452,6.52780764637304,1.32905439329164,4.15920347148655,3.19359320421514e-05,0.00552819172350164
"Cre10.g439450.t1.1.v5.5",42.6549974026801,6.46743072208926,0.849011223360485,6.4397625987187,1.19660517464017e-10,7.02459263825719e-08
"Cre08.g386000.t2.1.v5.5",8.88948869034028,6.37544182195554,1.35236891131811,3.9748339206617,7.04283850163182e-05,0.0106845399380936
"Cre12.g488800.t1.1.v5.5",224.387566130571,6.27453655768471,0.75808753712348,6.95768799695433,3.45902204523388e-12,3.33597968962485e-09
"Cre02.g102900.t1.1.v5.5",7.11404071377347,6.04783748419442,1.3996652097569,3.60646063716277,0.000310401919416969,0.0374200599639993
"Cre13.g584200.t1.2.v5.5",188.446260526654,5.80202779348155,1.215337089214,3.95119003287161,7.77635441125259e-05,0.0116662596956369
"Cre10.g448400.t1.1.v5.5",28.0564466207357,5.69523003848164,0.865861646640569,5.42261001708359,5.87350418640537e-08,2.40315313711653e-05
"Cre09.g403600.t1.1.v5.5",24.2444054946791,5.69456554576936,0.852486159134801,5.50691116267968,3.65184425534672e-08,1.64357337118971e-05
"Cre16.g662951.t1.2.v5.5",18.4199672304645,5.62048843591893,0.933813694608332,4.94797673518473,7.49888691039394e-07,0.000215425470349232
"Cre14.g614850.t1.1.v5.5",82.9488287663739,5.41597944328902,0.680647809069686,6.4879066448841,8.70371795466416e-11,5.34170908290343e-08
"Cre03.g145787.t1.1.v5.5",58.0333403317981,5.38201981559724,1.08003846078534,4.05728126793827,4.96472777484671e-05,0.00807635595373256
"Cre07.g356050.t1.1.v5.5",11.7583831664677,5.37118218468007,1.09925675974372,3.97648879202632,6.99402936740415e-05,0.0106845399380936
"Cre03.g144564.t1.1.v5.5",123.520230389432,5.28494685583081,1.15469337477425,3.71089585290861,0.000206527065667381,0.0268127734677017
"Cre10.g466100.t1.2.v5.5",30.1768680190607,5.2440025670103,0.827032686899507,5.13160197201007,2.87286512842211e-07,9.50873591146738e-05
"Cre17.g707600.t1.2.v5.5",20.055205342289,5.145281109455,0.904507048450541,4.58291742066139,4.5853315635868e-06,0.00103185244619248
"Cre08.g359600.t1.2.v5.5",122.00537588418,5.12545819017822,0.689834188799136,5.98036203070744,2.22642234842375e-09,1.21903920863757e-06
"Cre06.g254300.t1.2.v5.5",20.6815305226208,5.06611973362685,0.916944692596069,4.43442201744446,9.23196284236864e-06,0.00188863579238881
"Cre11.g467674.t1.1.v5.5",15.5108162134753,5.00979786945444,0.978119102852002,4.0994985761577,4.1404621745676e-05,0.0069017926272854
"Cre17.g697300.t1.1.v5.5",27.056497018446,4.8509632234249,0.816920825762576,4.71399810358626,2.42902923815088e-06,0.000585656299527021
"Cre10.g463350.t1.2.v5.5",288.028306325985,4.81446809832677,0.731958364244468,5.21131840916128,1.87503318611778e-07,6.84235083215195e-05
"Cre10.g459650.t1.1.v5.5",23.0616627112206,4.58517446702319,0.854780639130625,4.19426260130269,2.73760690126076e-05,0.00480041147802894
"Cre07.g335200.t1.1.v5.5",2134.11346688094,4.58379732167753,0.972250250076507,3.68608526600586,0.000227730079480903,0.0290008254565967
"Cre09.g403250.t1.1.v5.5",24.8363340602673,4.57830903422064,0.914806187661305,3.91154878758369,9.17061256328055e-05,0.0133141517020875
"Cre01.g025983.t1.1.v5.5",29.5887078418017,4.57093283002527,0.817592653270026,4.36761853930933,1.25608626301208e-05,0.00236569801003994
"Cre11.g467721.t1.1.v5.5",106.182478623117,4.55592309169704,0.844322009107116,4.21157218850363,2.53599484211983e-05,0.00450539504714499
"Cre12.g541400.t1.2.v5.5",50.1182505873129,4.4688534385122,0.95750228320378,3.62281479570523,0.000291414479932498,0.0359743887997491
"Cre05.g239350.t1.1.v5.5",36.1424084236401,4.37883714156331,0.835841726896782,4.04243654370771,5.2898630976453e-05,0.00850282518385796
"Cre17.g707551.t1.1.v5.5",90.9054190363899,4.36708110151037,0.696689103239109,4.83297511882393,1.34507603722311e-06,0.000349254166434356
"Cre03.g201550.t1.2.v5.5",56.3444409162531,4.08914788653332,0.825882757577845,3.74041939753434,0.00018371345405969,0.0244676494324894
"Cre06.g307750.t1.2.v5.5",86.1236857450223,3.45929161258761,0.617773795263543,3.98089338110962,6.86567413286319e-05,0.0106845399380936
"Cre16.g676150.t1.2.v5.5",78.0076811769348,3.15154362457424,0.540785954483328,3.97854938120545,6.93370116817316e-05,0.0106845399380936
"Cre04.g230536.t1.1.v5.5",99.0698567204681,2.83063038286073,0.456783318088026,4.00765595057907,6.13243672577344e-05,0.00974119537310507
"Cre03.g177711.t1.1.v5.5",58.1851015680389,2.78873146937745,0.502692599216019,3.55830078295779,0.000373261736094903,0.0427099996674015
"Cre07.g321400.t1.1.v5.5",1810.17242125807,2.48783918181106,0.289453695928546,5.14016301307947,2.74500216289397e-07,9.50333825728061e-05
