,,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cre12.g555803.t1.1.v5.5,CHLRE_12g555803v5,314.332363278385,-1.65832389713951,0.178605175263272,-3.68591725390435,0.000227880389101881,0.0217959408626064
Cre01.g042800.t1.2.v5.5,CHLRE_01g042800v5,279.445802676654,-1.66023210234876,0.189095358745104,-3.49152991765777,0.000480262676332643,0.0390343072895339
Cre14.g621751.t1.1.v5.5,CHLRE_14g621751v5,160.877968895902,-1.86770253000368,0.239132003931762,-3.62855040620696,0.000285017105829273,0.0256990423756061
Cre01.g004800.t1.2.v5.5,CHLRE_01g004800v5,711.002862371124,-1.96728161299797,0.277781448621624,-3.48216778981354,0.000497371935863086,0.0398634396002859
Cre09.g390300.t1.1.v5.5,CHLRE_09g390300v5,250.383528567398,-1.97283936388768,0.23627498097031,-4.11740320491201,3.83165374526554e-05,0.00548211484611876
Cre03.g201100.t1.2.v5.5,CHLRE_03g201100v5,119.701425584761,-1.97322263202407,0.263374761740896,-3.69520080660391,0.000219713071151052,0.0212495680880839
Cre09.g396250.t1.2.v5.5,CHLRE_09g396250v5,104.611914363874,-2.01353022249181,0.290448848019348,-3.48953087403634,0.000483869160717609,0.0391436584595479
Cre09.g393200.t1.2.v5.5,CHLRE_09g393200v5,264.804481687039,-2.03276536967193,0.270806513696608,-3.81366517213455,0.000136920942541866,0.0145201358477018
Cre07.g342150.t1.2.v5.5,CHLRE_07g342150v5,1716.84268541466,-2.05039029228971,0.235521150199184,-4.45985547965173,8.20149373801928e-06,0.00151047084672968
Cre01.g011300.t1.1.v5.5,CHLRE_01g011300v5,209.096686549992,-2.15836573715637,0.257806672611778,-4.49315654021383,7.01751607284732e-06,0.00132051345927318
Cre07.g325736.t1.1.v5.5,CHLRE_07g325736v5,591.214269021573,-2.2138186992491,0.254077968125197,-4.77734731667483,1.77622826142407e-06,0.00040460610081281
Cre06.g252200.t1.2.v5.5,None,322.110148252362,-2.22946817052919,0.177207158397344,-6.93802768267635,3.97611817485623e-12,4.91675413165079e-09
Cre06.g279150.t1.2.v5.5,CHLRE_06g279150v5,237.168659256717,-2.24099208034414,0.363077085451933,-3.41798513337585,0.000630865527435882,0.0493357384341741
Cre12.g547300.t1.1.v5.5,CHLRE_12g547300v5,179.865578526962,-2.25889344821878,0.255769245238784,-4.92198914315711,8.56689677604648e-07,0.000221358383562562
Cre05.g233900.t1.2.v5.5,CHLRE_05g233900v5,443.264163726637,-2.32060126632712,0.332291158475091,-3.97422932463041,7.06075082204165e-05,0.00854795232385909
Cre17.g696850.t1.2.v5.5,CHLRE_17g696850v5,515.635985065854,-2.32084423824666,0.223138119467556,-5.9194020340335,3.23114236145417e-09,1.99776916291052e-06
Cre01.g053000.t1.2.v5.5,CHLRE_01g053000v5,3772.85117707559,-2.33196103692366,0.348901522104906,-3.8175844831172,0.000134764646270701,0.0145201358477018
Cre03.g183900.t1.2.v5.5,CHLRE_03g183900v5,228.034985322776,-2.37672264570454,0.324097093789025,-4.24787099942567,2.15811594224712e-05,0.00349171057870861
Cre12.g485600.t1.2.v5.5,CHLRE_12g485600v5,632.166721431663,-2.38913753091266,0.272329728170745,-5.10093973303459,3.37971177490276e-07,9.91687631307062e-05
Cre03.g192050.t1.1.v5.5,CHLRE_03g192050v5,1184.51908271924,-2.40589021713981,0.340657409592306,-4.12699145109557,3.67540051545377e-05,0.00530237781029464
Cre03.g161150.t1.1.v5.5,None,1545.98640421461,-2.4219722047688,0.305383829449296,-4.65634414020239,3.2187374103174e-06,0.000705351671486264
Cre16.g671950.t1.1.v5.5,CHLRE_16g671950v5,460.64554344173,-2.44793344552707,0.358230181731259,-4.04190802273969,5.30180296629865e-05,0.0069232605530514
Cre06.g283950.t1.2.v5.5,CHLRE_06g283950v5,2711.06590905198,-2.47613167481091,0.322013452439522,-4.58406834754257,4.56015069805738e-06,0.000928768575114933
Cre09.g401600.t1.2.v5.5,CHLRE_09g401600v5,337.627590042992,-2.49878893052354,0.291719345102917,-5.13777696160253,2.78007559621384e-07,8.29804633131965e-05
Cre06.g299800.t1.2.v5.5,CHLRE_06g299800v5,140.119368388321,-2.61968726929641,0.401020748240444,-4.0389113939942,5.36998441030428e-05,0.00693769926202894
Cre06.g278104.t1.1.v5.5,CHLRE_06g278104v5,104.111579586927,-2.63716734475153,0.417587427834731,-3.92053791762973,8.83515324844539e-05,0.0101969448691391
Cre03.g189350.t1.2.v5.5,CHLRE_03g189350v5,107.715071901151,-2.66393215624822,0.436204759503408,-3.81456671436256,0.000136422079768653,0.0145201358477018
Cre03.g196250.t1.1.v5.5,CHLRE_03g196250v5,334.256099036615,-2.67051808434107,0.392835170193167,-4.25246569323116,2.1142961429784e-05,0.00345308441766434
Cre14.g627950.t1.2.v5.5,CHLRE_14g627950v5,196.266697160772,-2.69143323620252,0.453466942713233,-3.73000339579805,0.0001914771898747,0.0188167547375363
Cre16.g655150.t1.2.v5.5,CHLRE_16g655150v5,153.234575056735,-2.69529279853128,0.444663588453506,-3.8125289377242,0.000137552118705123,0.0145201358477018
Cre03.g170800.t1.2.v5.5,CHLRE_03g170800v5,649.818008163607,-2.76677123594969,0.496919346570073,-3.55544868225522,0.000377334593242608,0.0318654462352002
Cre16.g685837.t1.1.v5.5,CHLRE_16g685837v5,101.908610576559,-2.80641512253387,0.519605946170991,-3.47650972019365,0.000507985814305969,0.0403405982443346
Cre02.g111450.t1.2.v5.5,CHLRE_02g111450v5,490.736408986964,-2.81543383886064,0.387044243664129,-4.69050727036789,2.7252854456446e-06,0.00060487361070512
Cre09.g407600.t1.2.v5.5,CHLRE_09g407600v5,63.0455987550741,-2.81606389397222,0.508831438208094,-3.56908743761527,0.000358226861420102,0.030549869088201
Cre13.g588150.t1.2.v5.5,CHLRE_13g588150v5,618.091192199534,-2.85130973379029,0.471223682665401,-3.92872812189458,8.53963191293954e-05,0.00998906132951414
Cre11.g467553.t1.1.v5.5,CHLRE_11g467553v5,35.8566708511665,-2.85476978310921,0.515719707232198,-3.59646869626821,0.000322566380896479,0.0283733951592548
Cre14.g630700.t1.2.v5.5,CHLRE_14g630700v5,229.850249511473,-2.92390587276542,0.460095841399229,-4.18153284523177,2.89550412776581e-05,0.00443601481945856
Cre13.g602450.t1.2.v5.5,CHLRE_13g602450v5,80.511078910091,-2.94468269714027,0.475531800970528,-4.0894903204608,4.32322108137719e-05,0.00593996852069857
Cre11.g479150.t3.1.v5.5,CHLRE_11g479150v5,234.930809867503,-2.98251278285615,0.486657026522484,-4.07373709781329,4.62647053593488e-05,0.00625730139985193
Cre08.g373436.t1.1.v5.5,CHLRE_08g373436v5,85.7277048196765,-3.04735087495707,0.57471726599571,-3.56236187094534,0.000367533295845052,0.0311898844003409
Cre05.g238343.t1.1.v5.5,CHLRE_05g238343v5,156.202072862018,-3.04888293157788,0.365812260622233,-5.60091378045342,2.1322477982022e-08,9.00328631279915e-06
Cre03.g146567.t1.1.v5.5,CHLRE_03g146567v5,164.853192438042,-3.05464649102131,0.541256523167637,-3.79606785890865,0.000147009273850345,0.0153314731861276
Cre06.g300700.t1.1.v5.5,CHLRE_06g300700v5,297.60006509185,-3.06947695556672,0.319049401050827,-6.4863840795521,8.7920866510797e-11,8.4560335613051e-08
Cre06.g309000.t1.2.v5.5,CHLRE_06g309000v5,789.241659514941,-3.09623726820262,0.385373755234044,-5.4394915059266,5.34328565823768e-08,1.92714502740439e-05
Cre13.g570801.t1.1.v5.5,CHLRE_13g570801v5,64.3925973892708,-3.11294566540382,0.543428857352037,-3.88817346892389,0.000101001432984373,0.011579713959109
Cre09.g413100.t1.1.v5.5,CHLRE_09g413100v5,50.7373514145728,-3.18664927246602,0.601903517035115,-3.63289000741701,0.000280264508227884,0.0255365219286376
