,,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cre08.g368850.t1.2.v5.5,CHLRE_08g368850v5,60.5930606947103,26.8637614660483,3.26060482857913,7.93219749886677,2.15301674447841e-15,7.51970248905468e-12
Cre12.g487650.t1.1.v5.5,CHLRE_12g487650v5,43.1960261471607,26.4109033002961,3.26164170589891,7.79083222241689,6.65692609494815e-15,1.64635292222489e-11
Cre03.g199050.t1.2.v5.5,CHLRE_03g199050v5,247.203246678909,11.0276272354019,1.63883121168876,6.11876754840956,9.43018465532248e-10,6.80230653137262e-07
Cre06.g252750.t1.1.v5.5,CHLRE_06g252750v5,278.15351455944,10.6860176144188,1.555929962274,6.225227259113,4.8085848025922e-10,3.96410571916553e-07
Cre17.g742250.t1.1.v5.5,CHLRE_17g742250v5,106.759366309687,10.3263184048776,2.20944034092834,4.22112253140039,2.43088747184364e-05,0.00379130846059074
Cre07.g327950.t1.1.v5.5,CHLRE_07g327950v5,72.2059875185681,9.65931233755876,1.79307675264917,4.82930377897382,1.37011252424021e-06,0.000320532270535763
Cre12.g551352.t1.1.v5.5,CHLRE_12g551352v5,243.859642782689,9.60473306138304,1.59011789213979,5.41138056738912,6.2540699800986e-08,2.15511483831791e-05
Cre12.g551353.t1.1.v5.5,CHLRE_12g551353v5,646.914315621854,9.34522411917269,1.25127231159592,6.66939086067432,2.56867316361482e-11,2.96459132056665e-08
Cre06.g263200.t1.1.v5.5,CHLRE_06g263200v5,86.436502401114,9.22134531318265,1.03659349799941,7.93111796383978,2.17181795548021e-15,7.51970248905468e-12
Cre09.g388351.t1.1.v5.5,CHLRE_09g388351v5,32.7502462952954,9.1188679896381,1.48014537378906,5.48518282961247,4.13042007040663e-08,1.52140068635914e-05
Cre06.g252743.t1.2.v5.5,CHLRE_06g252743v5,354.728020126491,8.89401244666822,1.43538619991052,5.49957387576967,3.80710176848663e-08,1.46463435146757e-05
Cre03.g204500.t1.1.v5.5,CHLRE_03g204500v5,167.442305297317,8.88533511706223,1.43241073959812,5.50493995826543,3.69294107478131e-08,1.4530044519685e-05
Cre14.g629920.t1.1.v5.5,CHLRE_14g629920v5,144.882972500241,8.82900164957834,1.33967284311329,5.84396533065818,5.09726408660286e-09,2.75761987085215e-06
Cre01.g012650.t1.1.v5.5,CHLRE_01g012650v5,27.7851351007096,8.81546308358448,1.32409032828183,5.90251504497129,3.58001458630019e-09,2.13714525924238e-06
Cre06.g278093.t1.1.v5.5,CHLRE_06g278093v5,15.9715357631028,8.63189008513552,1.06784452359751,7.14700493984284,8.86916874109732e-13,1.39584590223524e-09
Cre10.g448450.t1.1.v5.5,CHLRE_10g448450v5,13.7257802149066,8.48181531694328,2.14277054392078,3.49165492225466,0.000480037989937228,0.0390343072895339
Cre12.g525450.t1.1.v5.5,CHLRE_12g525450v5,110.017746624402,8.4581599957511,2.02677702179486,3.67981278431229,0.000233405245643922,0.0222017121570746
Cre06.g253000.t1.1.v5.5,CHLRE_06g253000v5,74.7385953727986,8.45683408446719,1.28670695198148,5.79528545562292,6.8205069546672e-09,3.37361761140567e-06
Cre02.g081850.t1.1.v5.5,CHLRE_02g081850v5,13.2672930472647,8.41910183367913,1.15512996229432,6.42274209470186,1.33841147890415e-10,1.21950418540993e-07
Cre02.g141946.t1.1.v5.5,CHLRE_02g141946v5,13.0001683422581,8.40438804705737,2.16756714134079,3.41599016973344,0.000635505410745195,0.0493357384341741
Cre09.g395547.t3.1.v5.5,CHLRE_09g395547v5,11.8772716025247,8.21821539437326,2.00037014023775,3.60843988278857,0.000308043874211084,0.027488946135785
Cre06.g279216.t1.1.v5.5,CHLRE_06g279216v5,11.8254939170053,8.17040443763449,1.75570995782571,4.08404839630482,4.42578070222737e-05,0.00603300122180789
Cre12.g488450.t1.1.v5.5,CHLRE_12g488450v5,40.6613125174619,8.12805096251134,1.26864924809919,5.61861442253741,1.92494896301395e-08,8.7696622230783e-06
Cre01.g009400.t1.2.v5.5,CHLRE_01g009400v5,116.924475844541,8.10877157136168,1.43782146396527,4.94412675670933,7.6485927665436e-07,0.000203711443037543
Cre09.g413350.t1.1.v5.5,CHLRE_09g413350v5,117.943908559983,7.79306024958523,1.07387792792656,6.3257285329453,2.52040578276159e-10,2.18166324555844e-07
Cre11.g467558.t1.1.v5.5,CHLRE_11g467558v5,10.2258673087722,7.72832282107673,1.9128147596153,3.51749838151077,0.000435635007187424,0.0357427167982402
Cre14.g616050.t1.1.v5.5,CHLRE_14g616050v5,42.0400038381166,7.72448792818796,1.09638902136679,6.13330469125369,8.60720714250143e-10,6.47860739352107e-07
Cre09.g399250.t1.2.v5.5,CHLRE_09g399250v5,107.389115730765,7.55783527998376,1.82353446409861,3.59622228649533,0.000322871929665734,0.0283733951592548
Cre02.g108550.t1.1.v5.5,CHLRE_02g108550v5,13.0746400976736,7.50582362754944,1.64474632112858,3.95551796892626,7.63690075008648e-05,0.0091179328127929
Cre06.g249500.t1.1.v5.5,CHLRE_06g249500v5,81.5937405834083,7.4429167917159,1.68310311931067,3.82799884201668,0.000129189364170712,0.0141552295729327
Cre02.g081900.t1.2.v5.5,CHLRE_02g081900v5,11.7505019776429,7.40111273085221,1.80132468233707,3.55355855255773,0.000380056582955231,0.0319395124471892
Cre15.g636550.t2.1.v5.5,CHLRE_15g636550v5,18.6113447896926,7.34361971333439,1.18392842460246,5.35811082960056,8.40966501127251e-08,2.74694567311603e-05
Cre08.g363100.t1.1.v5.5,CHLRE_08g363100v5,10.3576418269054,7.20273820022412,1.69364795901242,3.66235389545829,0.000249908289601443,0.0233860124842172
Cre13.g568350.t1.1.v5.5,CHLRE_13g568350v5,12.1893004667225,7.09094551346774,1.10557646333722,5.50929376253362,3.60276226222038e-08,1.4504888438037e-05
Cre06.g249600.t1.2.v5.5,CHLRE_06g249600v5,20.8242696658906,6.77021693764482,1.3816494274128,4.17632492234288,2.96256565455266e-05,0.00449894180803646
Cre16.g691750.t1.2.v5.5,CHLRE_16g691750v5,101.867921515365,6.70613500421592,1.01859816910242,5.60194900923895,2.11954913963508e-08,9.00328631279915e-06
Cre17.g714300.t1.2.v5.5,CHLRE_17g714300v5,29.8440154528076,6.68022428547817,1.4995179972379,3.78803341869927,0.000151844428998723,0.0156472068739636
Cre14.g615350.t1.2.v5.5,CHLRE_14g615350v5,20.2388599992725,6.63812229503346,1.27511886840312,4.42164447154194,9.79525362339944e-06,0.00173036153804379
Cre05.g241202.t1.1.v5.5,CHLRE_05g241202v5,9.74962284212341,6.49949715429574,1.23604363188182,4.44927429133144,8.61609228110564e-06,0.00156335422320102
Cre03.g168900.t1.2.v5.5,CHLRE_03g168900v5,23.9082438900256,6.44680000130953,1.42851070332659,3.81292207935544,0.000137333419773282,0.0145201358477018
Cre12.g506750.t1.1.v5.5,CHLRE_12g506750v5,22.9464330814964,6.42042805943746,1.34717720100036,4.02354497642366,5.73286298132219e-05,0.00729759734798895
Cre06.g266450.t1.2.v5.5,CHLRE_06g266450v5,8.00964442613101,6.41003197151529,1.481545658873,3.65161339383267,0.00026059798793939,0.0241255206802499
Cre01.g011150.t1.1.v5.5,CHLRE_01g011150v5,45.8011684340291,6.38880083060361,1.50923604283687,3.57054872641023,0.000356234176003764,0.0305303270048375
Cre06.g284150.t1.1.v5.5,CHLRE_06g284150v5,40.3042145292941,6.3752765641452,1.43484277779054,3.74624777525966,0.000179499304216026,0.0179623812403922
Cre11.g481750.t1.2.v5.5,CHLRE_11g481750v5,21.171852484039,6.35181330098916,1.02530250293838,5.21974079420618,1.79173720720051e-07,5.63973718746458e-05
Cre10.g452250.t1.1.v5.5,CHLRE_10g452250v5,28.8497630882007,6.34297923730335,1.43066608449759,3.73460956067862,0.000188006632766996,0.0185986904369271
Cre06.g302426.t1.1.v5.5,CHLRE_06g302426v5,7.22377055851281,6.23615664794761,1.39644257758339,3.74963978612641,0.000177088761751673,0.0178241897874707
Cre16.g673250.t1.1.v5.5,CHLRE_16g673250v5,22.8481016411962,6.22814387887886,1.12980332352702,4.62748141203695,3.70139441001904e-06,0.000781445610076215
Cre17.g730550.t1.2.v5.5,CHLRE_17g730550v5,9.55301722898049,6.22410889941496,1.25166310980996,4.17373401714151,2.99647567247508e-05,0.0045108684210338
Cre07.g343466.t1.1.v5.5,CHLRE_07g343466v5,7.06152925721286,6.21056684120344,1.49622005716203,3.48248696190227,0.000496779411247372,0.0398634396002859
Cre17.g717950.t1.2.v5.5,CHLRE_17g717950v5,74.8426972848943,6.14946672637596,1.25318043162687,4.10911836509525,3.97172479790763e-05,0.00563594259847352
