Name	CONTROLE_1_L007	CONTROLE_1_L008	SAL_24_1_L007	SAL_24_1_L008	SAL_48_1_L007	SAL_48_1_L008	SAL_48_2_L007	SAL_48_2_L008	SAL_48_3_L007	SAL_48_3_L008
CHLRE_12g561602v5	6.18305	6.28089	3.35297	4.1451	3.58526	4.34872	3.69992	3.99153	8.12318	8.59776
CHLRE_12g561550v5	9.79778	9.25823	21.4519	20.3695	9.78572	9.82866	17.9433	18.4634	15.082	14.9669
CHLRE_12g561500v5	239.392	240.16	170.639	176.964	278.71	270.687	181.748	177.961	119.905	124.973
CHLRE_12g561300v5	2.50753	2.74622	0	0	0	0	0.735842	2.76869	17.9838	17.4262
CHLRE_12g561200v5	42.5135	39.8182	48.9025	46.4762	28.0125	25.8347	40.1886	36.662	43.4794	41.0757
CHLRE_12g561150v5	0	0	5.48411	5.28787	0	2.1192	0	0	6.48733	7.07125
CHLRE_12g561150v5	5.62101	6.21103	0	0	1.98843	0	6.43842	4.9758	0	0
CHLRE_12g561101v5	5.73908	6.50596	12.8447	13.4183	3.5017	4.13671	6.63286	7.28719	5.24071	4.79951
CHLRE_12g561100v5	14.1777	14.0886	9.86197	10.1627	6.70797	6.72862	11.4222	10.0477	14.1813	14.2138
CHLRE_12g561050v5	4.57629	4.90971	13.8112	14.4197	3.98635	3.69134	11.7849	11.0509	10.6234	12.7783
CHLRE_12g561000v5	9.96543	9.61384	39.3027	34.3758	43.6138	43.1572	48.0679	52.3403	48.0707	46.3203
CHLRE_12g560950v5	356.26	355.895	1888.97	1894.18	4188.97	4178.31	2658.08	2706.34	3054.38	3015.5
CHLRE_12g560800v5	17.3123	17.5064	29.4187	29.2505	23.7185	21.1248	37.9846	41.3997	31.8438	31.7468
CHLRE_12g560700v5	4.05576	3.69818	3.10415	3.16278	5.68789	5.51082	4.54003	5.7279	2.48219	5.07299
CHLRE_12g560668v5	3.45643	3.49572	3.86426	3.33546	2.97271	2.54329	4.10356	4.54007	5.13224	4.59893
CHLRE_12g560600v5	3.74206	3.25258	2.79356	2.33432	2.47914	2.05569	3.31732	3.10292	2.29874	2.54641
CHLRE_12g560550v5	3.6956	3.55134	5.9557	5.23783	8.11501	8.81621	6.72708	8.28945	9.87352	9.54956
CHLRE_12g560350v5	11.7981	0	9.25854	10.7857	4.76383	5.40257	4.65875	3.65549	4.56434	5.13137
CHLRE_12g560350v5	6.77841	17.415	0	0	0	0	0	0	0	0
CHLRE_12g560200v5	10.5969	11.0179	21.993	24.1415	7.15162	10.0912	22.7529	27.2568	11.8149	11.0858
CHLRE_12g560150v5	288.456	297.578	395.558	399.599	261.701	256.868	308.273	307.77	255.495	255.376
CHLRE_12g560100v5	6.57024	9.83328	13.2867	13.7566	5.53043	2.9664	6.74201	6.19901	8.21271	9.21003
CHLRE_12g560000v5	0.313562	0.31318	0.153059	0.259652	0.167193	0.21823	0.963104	1.00744	0	0
CHLRE_12g559900v5	32.2614	30.6336	22.4599	21.717	0.682337	0.907645	14.732	15.5167	21.9672	14.6857
CHLRE_12g559850v5	10.1567	10.365	23.2598	21.526	12.6222	12.7525	19.2321	20.6954	13.2385	12.147
CHLRE_12g559750v5	14.1606	14.1424	7.0218	8.24512	1.64043	1.51737	3.09481	2.65333	2.06228	1.87723
CHLRE_12g559703v5	0	0	0	0	0	0	0	0	0	0
CHLRE_12g559700v5	2.51285	1.25294	0	0	0	1.04709	1.37223	1.44714	0	0
CHLRE_12g559700v5	0	0	0	0	0	0	0	0	31.514	26.2284
CHLRE_12g559700v5	7.3125	6.58832	9.87268	10.3923	14.0607	13.4375	12.9981	14.5395	0	0
CHLRE_12g559600v5	83.8716	30.7653	0	42.4309	243.556	235.715	98.8211	133.517	179.255	177.167
CHLRE_12g559555v5	1.96893	2.1772	2.4265	3.03591	4.48818	4.41496	3.1214	3.07521	3.68505	4.89848
CHLRE_12g559554v5	6.78442	7.27457	1.82441	0.865816	5.45655	10.9132	4.07905	2.42532	0	0
CHLRE_12g559550v5	8.91655	10.5746	19.2011	15.7897	13.3748	13.9968	15.5327	12.207	26.2282	29.2199
CHLRE_12g559450v5	33.0009	33.1072	64.1383	58.1487	39.3927	39.9601	50.2093	48.0134	44.3071	41.3666
CHLRE_12g559350v5	7.03128	5.95785	6.30589	5.73332	15.5297	15.8293	12.3325	11.9804	22.2176	22.8981
CHLRE_12g559300v5	9.28518	9.64302	4.91186	5.76812	7.15937	8.12552	9.41671	10.0059	10.5614	11.3066
CHLRE_12g559200v5	3.97512	3.91589	1.95632	1.83019	0.398115	0.692201	1.90792	1.68695	0.372242	0.31402
CHLRE_12g559150v5	1.77779	1.77537	4.07953	5.23242	5.49014	5.27038	2.1853	2.59909	3.44541	3.12263
CHLRE_12g559053v5	0.225314	0.22089	0	0	0.202673	0	0	0.513616	0	0
CHLRE_12g559050v5	4.52825	4.74006	1.8927	2.53378	2.82204	3.11974	6.76773	5.68894	0.88751	1.10601
CHLRE_12g559000v5	0.502013	0.501351	0.501372	0.562733	0.786272	0.94159	0.635822	0.695399	0	0
CHLRE_12g559000v5	0	0	0	0	0	0	0	0	0	0
CHLRE_12g558900v5	208.699	206.459	508.336	523.607	873.055	870.237	565.786	548.12	673.066	668.881
CHLRE_12g558800v5	3.87182	4.25184	4.67175	4.10065	4.90386	4.80397	5.13395	5.62577	4.29683	4.32421
CHLRE_12g558700v5	37.9807	36.1468	30.7567	28.6964	11.3303	11.0851	16.3176	16.9462	19.9732	20.9122
CHLRE_12g558650v5	16.2468	14.3909	29.3876	30.5128	15.642	17.7885	27.1516	27.5256	30.6018	31.0171
CHLRE_12g558600v5	90.1894	90.5558	73.9627	74.4532	24.6598	22.9486	66.9376	70.5475	59.4482	57.4609
CHLRE_12g558550v5	6.16662	5.43067	4.53511	3.5191	3.89838	3.31208	3.37551	3.93919	2.24848	2.00567
CHLRE_12g558526v5	0.834287	1.41816	1.74824	1.6429	1.09061	1.01654	1.67858	1.4806	1.97083	2.26666
CHLRE_12g558353v5	0.400437	0.218142	2.57588	1.67264	0.137081	0.205218	2.19491	1.69399	0.690461	1.07079
CHLRE_12g558352v5	75.3351	79.0144	122.749	120.181	96.2586	94.9174	91.625	92.7282	82.6282	78.6877
CHLRE_12g558250v5	6.15128	6.44689	7.5113	6.91868	7.71559	7.63488	10.8392	10.7612	6.49917	6.82307
CHLRE_12g558150v5	17.267	15.6405	33.0221	30.4429	31.794	31.8341	26.0809	27.2632	26.4478	21.9286
CHLRE_12g558100v5	24.2779	23.4484	104.921	108.316	50.5151	54.6901	120.55	121.104	104.368	102.889
CHLRE_12g558050v5	20.2909	19.3725	60.343	56.849	37.4047	36.4862	51.6643	52.1887	38.4452	29.5303
CHLRE_12g558000v5	49.9731	53.4498	104.811	100.688	125.891	123.236	106.8	100.496	53.3214	52.8424
CHLRE_12g557950v5	38.115	40.1414	46.7205	49.3893	31.7965	32.0146	37.8937	38.6146	44.7979	41.1578
CHLRE_12g557928v5	0.662041	0.793257	0.893876	1.78288	5.80769	4.56105	0.748178	0.447694	0	0
CHLRE_12g557850v5	1.70537	1.82489	0.342001	0.580127	1.34816	1.57457	1.69827	2.59338	1.53949	1.02321
CHLRE_12g557700v5	5.05731	5.19272	8.24556	7.98614	7.95439	6.60348	9.94304	8.14445	3.31228	3.15207
CHLRE_12g557650v5	1.31939	1.21439	1.53971	1.88423	0.828849	0.924585	2.09112	2.1157	2.61463	2.71531
CHLRE_12g557600v5	12.9549	16.1472	118.846	112.946	105.818	100.2	85.6076	95.2207	104.142	100.628
CHLRE_12g557503v5	10.5163	7.67682	4.13354	3.35006	1.20493	1.50642	3.12757	3.48363	14.9263	12.9419
CHLRE_12g557500v5	4.53384	4.30584	2.5005	2.12093	1.62044	2.15654	4.05962	3.86963	2.81124	3.23648
