GO.ID,Term,Annotated,Significant,Expected,classic
1,GO:0000160,phosphorelay signal transduction system,3,3,3,1
2,GO:0000723,telomere maintenance,2,2,2,1
3,GO:0001659,temperature homeostasis,24,24,24,1
4,GO:0006082,organic acid metabolic process,1,1,1,1
5,GO:0006091,generation of precursor metabolites and ...,2,2,2,1
6,GO:0006139,nucleobase-containing compound metabolic...,100,100,100,1
7,GO:0006259,DNA metabolic process,5,5,5,1
8,GO:0006281,DNA repair,4,4,4,1
9,GO:0006289,nucleotide-excision repair,1,1,1,1
10,GO:0006302,double-strand break repair,1,1,1,1
11,GO:0006303,double-strand break repair via nonhomolo...,1,1,1,1
12,GO:0006325,chromatin organization,12,12,12,1
13,GO:0006334,nucleosome assembly,9,9,9,1
14,GO:0006338,chromatin remodeling,12,12,12,1
15,GO:0006351,transcription, DNA-templated,90,90,90,1
16,GO:0006352,DNA-templated transcription, initiation,1,1,1,1
17,GO:0006354,DNA-templated transcription, elongation,1,1,1,1
18,GO:0006355,regulation of transcription, DNA-templat...,88,88,88,1
19,GO:0006357,regulation of transcription by RNA polym...,3,3,3,1
20,GO:0006364,rRNA processing,2,2,2,1
21,GO:0006366,transcription by RNA polymerase II,3,3,3,1
22,GO:0006396,RNA processing,5,5,5,1
23,GO:0006397,mRNA processing,2,2,2,1
24,GO:0006399,tRNA metabolic process,2,2,2,1
25,GO:0006412,translation,1,1,1,1
26,GO:0006418,tRNA aminoacylation for protein translat...,1,1,1,1
27,GO:0006457,protein folding,2,2,2,1
28,GO:0006464,cellular protein modification process,8,8,8,1
29,GO:0006468,protein phosphorylation,3,3,3,1
30,GO:0006470,protein dephosphorylation,1,1,1,1
31,GO:0006473,protein acetylation,1,1,1,1
32,GO:0006475,internal protein amino acid acetylation,1,1,1,1
33,GO:0006518,peptide metabolic process,1,1,1,1
34,GO:0006520,cellular amino acid metabolic process,1,1,1,1
35,GO:0006725,cellular aromatic compound metabolic pro...,101,101,101,1
36,GO:0006753,nucleoside phosphate metabolic process,1,1,1,1
37,GO:0006793,phosphorus metabolic process,5,5,5,1
38,GO:0006796,phosphate-containing compound metabolic ...,5,5,5,1
39,GO:0006801,superoxide metabolic process,1,1,1,1
40,GO:0006807,nitrogen compound metabolic process,105,105,105,1
41,GO:0006810,transport,2,2,2,1
42,GO:0006811,ion transport,1,1,1,1
43,GO:0006886,intracellular protein transport,1,1,1,1
44,GO:0006950,response to stress,28,28,28,1
45,GO:0006974,cellular response to DNA damage stimulus,4,4,4,1
46,GO:0006996,organelle organization,14,14,14,1
47,GO:0007049,cell cycle,2,2,2,1
48,GO:0007154,cell communication,13,13,13,1
49,GO:0007165,signal transduction,13,13,13,1
50,GO:0007275,multicellular organism development,1,1,1,1
51,GO:0008033,tRNA processing,1,1,1,1
52,GO:0008104,protein localization,1,1,1,1
53,GO:0008150,biological_process,158,158,158,1
54,GO:0008152,metabolic process,133,133,133,1
55,GO:0009058,biosynthetic process,92,92,92,1
56,GO:0009059,macromolecule biosynthetic process,90,90,90,1
57,GO:0009117,nucleotide metabolic process,1,1,1,1
58,GO:0009165,nucleotide biosynthetic process,1,1,1,1
59,GO:0009187,cyclic nucleotide metabolic process,1,1,1,1
60,GO:0009190,cyclic nucleotide biosynthetic process,1,1,1,1
61,GO:0009266,response to temperature stimulus,24,24,24,1
62,GO:0009409,response to cold,24,24,24,1
63,GO:0009628,response to abiotic stimulus,24,24,24,1
64,GO:0009889,regulation of biosynthetic process,88,88,88,1
65,GO:0009987,cellular process,125,125,125,1
66,GO:0010467,gene expression,95,95,95,1
67,GO:0010468,regulation of gene expression,88,88,88,1
68,GO:0010556,regulation of macromolecule biosynthetic...,88,88,88,1
69,GO:0015031,protein transport,1,1,1,1
70,GO:0015074,DNA integration,1,1,1,1
71,GO:0016043,cellular component organization,14,14,14,1
72,GO:0016070,RNA metabolic process,95,95,95,1
73,GO:0016071,mRNA metabolic process,2,2,2,1
74,GO:0016072,rRNA metabolic process,2,2,2,1
75,GO:0016192,vesicle-mediated transport,1,1,1,1
76,GO:0016310,phosphorylation,3,3,3,1
77,GO:0016311,dephosphorylation,1,1,1,1
78,GO:0016567,protein ubiquitination,3,3,3,1
79,GO:0016570,histone modification,1,1,1,1
80,GO:0016573,histone acetylation,1,1,1,1
81,GO:0018106,peptidyl-histidine phosphorylation,1,1,1,1
82,GO:0018130,heterocycle biosynthetic process,92,92,92,1
83,GO:0018193,peptidyl-amino acid modification,2,2,2,1
84,GO:0018202,peptidyl-histidine modification,1,1,1,1
85,GO:0018205,peptidyl-lysine modification,1,1,1,1
86,GO:0018393,internal peptidyl-lysine acetylation,1,1,1,1
87,GO:0018394,peptidyl-lysine acetylation,1,1,1,1
88,GO:0019219,regulation of nucleobase-containing comp...,88,88,88,1
89,GO:0019222,regulation of metabolic process,88,88,88,1
90,GO:0019438,aromatic compound biosynthetic process,92,92,92,1
91,GO:0019538,protein metabolic process,9,9,9,1
92,GO:0019637,organophosphate metabolic process,1,1,1,1
93,GO:0019752,carboxylic acid metabolic process,1,1,1,1
94,GO:0022607,cellular component assembly,9,9,9,1
95,GO:0022613,ribonucleoprotein complex biogenesis,2,2,2,1
96,GO:0022900,electron transport chain,2,2,2,1
97,GO:0023052,signaling,13,13,13,1
98,GO:0031323,regulation of cellular metabolic process,88,88,88,1
99,GO:0031326,regulation of cellular biosynthetic proc...,88,88,88,1
100,GO:0031497,chromatin assembly,9,9,9,1
101,GO:0032200,telomere organization,2,2,2,1
102,GO:0032446,protein modification by small protein co...,3,3,3,1
103,GO:0032501,multicellular organismal process,25,25,25,1
104,GO:0032502,developmental process,1,1,1,1
105,GO:0032774,RNA biosynthetic process,90,90,90,1
106,GO:0033013,tetrapyrrole metabolic process,1,1,1,1
107,GO:0033014,tetrapyrrole biosynthetic process,1,1,1,1
108,GO:0033036,macromolecule localization,1,1,1,1
109,GO:0033554,cellular response to stress,4,4,4,1
110,GO:0034470,ncRNA processing,3,3,3,1
111,GO:0034613,cellular protein localization,1,1,1,1
112,GO:0034641,cellular nitrogen compound metabolic pro...,101,101,101,1
113,GO:0034645,cellular macromolecule biosynthetic proc...,1,1,1,1
114,GO:0034654,nucleobase-containing compound biosynthe...,91,91,91,1
115,GO:0034660,ncRNA metabolic process,4,4,4,1
116,GO:0034728,nucleosome organization,10,10,10,1
117,GO:0035556,intracellular signal transduction,4,4,4,1
118,GO:0036211,protein modification process,8,8,8,1
119,GO:0042254,ribosome biogenesis,2,2,2,1
120,GO:0042309,homoiothermy,24,24,24,1
121,GO:0042592,homeostatic process,24,24,24,1
122,GO:0043038,amino acid activation,1,1,1,1
123,GO:0043039,tRNA aminoacylation,1,1,1,1
124,GO:0043043,peptide biosynthetic process,1,1,1,1
125,GO:0043170,macromolecule metabolic process,103,103,103,1
126,GO:0043412,macromolecule modification,8,8,8,1
127,GO:0043436,oxoacid metabolic process,1,1,1,1
128,GO:0043486,histone exchange,1,1,1,1
129,GO:0043543,protein acylation,1,1,1,1
130,GO:0043603,cellular amide metabolic process,1,1,1,1
131,GO:0043604,amide biosynthetic process,1,1,1,1
132,GO:0043933,protein-containing complex organization,10,10,10,1
133,GO:0044085,cellular component biogenesis,11,11,11,1
134,GO:0044237,cellular metabolic process,107,107,107,1
135,GO:0044238,primary metabolic process,104,104,104,1
136,GO:0044249,cellular biosynthetic process,92,92,92,1
137,GO:0044260,cellular macromolecule metabolic process,14,14,14,1
138,GO:0044267,cellular protein metabolic process,9,9,9,1
139,GO:0044271,cellular nitrogen compound biosynthetic ...,92,92,92,1
140,GO:0044281,small molecule metabolic process,2,2,2,1
141,GO:0045184,establishment of protein localization,1,1,1,1
142,GO:0046483,heterocycle metabolic process,101,101,101,1
143,GO:0046907,intracellular transport,1,1,1,1
144,GO:0048856,anatomical structure development,1,1,1,1
145,GO:0048871,multicellular organismal homeostasis,24,24,24,1
146,GO:0050789,regulation of biological process,94,94,94,1
147,GO:0050794,regulation of cellular process,94,94,94,1
148,GO:0050826,response to freezing,24,24,24,1
149,GO:0050896,response to stimulus,39,39,39,1
150,GO:0051171,regulation of nitrogen compound metaboli...,88,88,88,1
151,GO:0051179,localization,2,2,2,1
152,GO:0051234,establishment of localization,2,2,2,1
153,GO:0051252,regulation of RNA metabolic process,88,88,88,1
154,GO:0051276,chromosome organization,14,14,14,1
155,GO:0051641,cellular localization,1,1,1,1
156,GO:0051649,establishment of localization in cell,1,1,1,1
157,GO:0051716,cellular response to stimulus,17,17,17,1
158,GO:0055085,transmembrane transport,1,1,1,1
159,GO:0055086,nucleobase-containing small molecule met...,1,1,1,1
160,GO:0060255,regulation of macromolecule metabolic pr...,88,88,88,1
161,GO:0065003,protein-containing complex assembly,9,9,9,1
162,GO:0065004,protein-DNA complex assembly,9,9,9,1
163,GO:0065007,biological regulation,102,102,102,1
164,GO:0065008,regulation of biological quality,24,24,24,1
165,GO:0070647,protein modification by small protein co...,3,3,3,1
166,GO:0070727,cellular macromolecule localization,1,1,1,1
167,GO:0071702,organic substance transport,1,1,1,1
168,GO:0071704,organic substance metabolic process,105,105,105,1
169,GO:0071705,nitrogen compound transport,1,1,1,1
170,GO:0071824,protein-DNA complex subunit organization,10,10,10,1
171,GO:0071840,cellular component organization or bioge...,16,16,16,1
172,GO:0072593,reactive oxygen species metabolic proces...,1,1,1,1
173,GO:0080090,regulation of primary metabolic process,88,88,88,1
174,GO:0090304,nucleic acid metabolic process,99,99,99,1
175,GO:0090407,organophosphate biosynthetic process,1,1,1,1
176,GO:0097659,nucleic acid-templated transcription,90,90,90,1
177,GO:1901293,nucleoside phosphate biosynthetic proces...,1,1,1,1
178,GO:1901360,organic cyclic compound metabolic proces...,101,101,101,1
179,GO:1901362,organic cyclic compound biosynthetic pro...,92,92,92,1
180,GO:1901564,organonitrogen compound metabolic proces...,10,10,10,1
181,GO:1901566,organonitrogen compound biosynthetic pro...,2,2,2,1
182,GO:1901576,organic substance biosynthetic process,92,92,92,1
183,GO:1903506,regulation of nucleic acid-templated tra...,88,88,88,1
184,GO:2001141,regulation of RNA biosynthetic process,88,88,88,1
