GO.ID,Term,Annotated,Significant,Expected,classic
1,GO:0000003,reproduction,1,1,1,1
2,GO:0000041,transition metal ion transport,7,7,7,1
3,GO:0000045,autophagosome assembly,1,1,1,1
4,GO:0000054,ribosomal subunit export from nucleus,1,1,1,1
5,GO:0000055,ribosomal large subunit export from nucl...,1,1,1,1
6,GO:0000070,mitotic sister chromatid segregation,7,7,7,1
7,GO:0000075,cell cycle checkpoint signaling,1,1,1,1
8,GO:0000079,regulation of cyclin-dependent protein s...,2,2,2,1
9,GO:0000087,mitotic M phase,1,1,1,1
10,GO:0000096,sulfur amino acid metabolic process,11,11,11,1
11,GO:0000097,sulfur amino acid biosynthetic process,8,8,8,1
12,GO:0000103,sulfate assimilation,3,3,3,1
13,GO:0000105,histidine biosynthetic process,7,7,7,1
14,GO:0000154,rRNA modification,2,2,2,1
15,GO:0000160,phosphorelay signal transduction system,19,19,19,1
16,GO:0000162,tryptophan biosynthetic process,3,3,3,1
17,GO:0000226,microtubule cytoskeleton organization,16,16,16,1
18,GO:0000245,spliceosomal complex assembly,2,2,2,1
19,GO:0000255,allantoin metabolic process,1,1,1,1
20,GO:0000256,allantoin catabolic process,1,1,1,1
21,GO:0000266,mitochondrial fission,1,1,1,1
22,GO:0000271,polysaccharide biosynthetic process,9,9,9,1
23,GO:0000272,polysaccharide catabolic process,3,3,3,1
24,GO:0000278,mitotic cell cycle,11,11,11,1
25,GO:0000279,M phase,1,1,1,1
26,GO:0000280,nuclear division,8,8,8,1
27,GO:0000288,nuclear-transcribed mRNA catabolic proce...,1,1,1,1
28,GO:0000290,deadenylation-dependent decapping of nuc...,1,1,1,1
29,GO:0000302,response to reactive oxygen species,2,2,2,1
30,GO:0000303,response to superoxide,2,2,2,1
31,GO:0000305,response to oxygen radical,2,2,2,1
32,GO:0000375,RNA splicing, via transesterification re...,18,18,18,1
33,GO:0000377,RNA splicing, via transesterification re...,18,18,18,1
34,GO:0000387,spliceosomal snRNP assembly,2,2,2,1
