GO:0000003	Cre04.g224200.t1.2, Cre10.g420450.t1.2
GO:0000041	Cre05.g247050.t1.2, Cre09.g387800.t1.2, Cre09.g406400.t1.1, Cre10.g434350.t1.1, Cre10.g434650.t1.1, Cre13.g570600.t1.2, Cre13.g574500.t1.1, Cre16.g682369.t1.1, Cre16.g687000.t1.1
GO:0000045	Cre12.g557000.t1.2, Cre16.g689650.t1.2
GO:0000070	Cre02.g086650.t1.2, Cre05.g241150.t1.1, Cre07.g351450.t1.1, Cre08.g362500.t1.2, Cre08.g380400.t1.2, Cre10.g432500.t1.2, Cre12.g556650.t1.2, Cre13.g589300.t1.2, Cre16.g681578.t1.1
GO:0000075	Cre04.g227750.t1.1, Cre07.g351450.t1.1, Cre08.g380400.t1.2, Cre12.g515850.t1.2, Cre12.g524350.t1.1, Cre16.g682950.t1.1
GO:0000077	Cre04.g227750.t1.1, Cre12.g515850.t1.2, Cre12.g524350.t1.1, Cre16.g682950.t1.1
GO:0000079	Cre03.g174476.t1.2, Cre07.g321650.t1.2, Cre10.g453050.t1.2, Cre10.g453050.t2.1, Cre14.g613900.t1.2, Cre14.g632783.t1.1
GO:0000087	Cre01.g024850.t1.1, Cre07.g352550.t1.2
GO:0000096	Cre01.g016528.t1.1, Cre02.g146250.t1.2, Cre03.g163950.t1.1, Cre03.g172850.t1.2, Cre03.g174400.t1.2, Cre03.g180750.t1.2, Cre06.g250902.t1.1, Cre08.g367600.t1.2, Cre09.g389689.t1.1, Cre10.g433600.t1.2, Cre10.g466750.t1.1, Cre10.g466750.t2.1, Cre12.g525650.t1.2, Cre16.g669550.t1.2, Cre16.g673550.t1.1, Cre16.g685550.t1.2, Cre17.g713850.t1.1
GO:0000097	Cre01.g016528.t1.1, Cre03.g172850.t1.2, Cre03.g180750.t1.2, Cre06.g250902.t1.1, Cre08.g367600.t1.2, Cre09.g389689.t1.1, Cre10.g466750.t1.1, Cre10.g466750.t2.1, Cre16.g669550.t1.2, Cre16.g673550.t1.1, Cre16.g685550.t1.2, Cre17.g713850.t1.1
GO:0000103	Cre02.g107450.t1.2, Cre03.g203850.t1.2, Cre16.g677500.t1.2
GO:0000105	Cre02.g077350.t1.2, Cre02.g103850.t1.2, Cre09.g410650.t1.2, Cre09.g410650.t3.1, Cre11.g481500.t1.2, Cre12.g495300.t1.2, Cre13.g576650.t1.2, Cre16.g672385.t1.1
GO:0000154	Cre01.g042900.t1.2, Cre06.g309300.t1.2, Cre12.g529500.t1.2, Cre13.g566300.t1.2
