GO.ID,Term,Annotated,Significant,Expected,classic
1,GO:0001659,temperature homeostasis,2,2,2,1
2,GO:0006139,nucleobase-containing compound metabolic...,18,18,18,1
3,GO:0006351,transcription, DNA-templated,18,18,18,1
4,GO:0006352,DNA-templated transcription, initiation,1,1,1,1
5,GO:0006355,regulation of transcription, DNA-templat...,18,18,18,1
6,GO:0006725,cellular aromatic compound metabolic pro...,18,18,18,1
7,GO:0006807,nitrogen compound metabolic process,18,18,18,1
8,GO:0006950,response to stress,2,2,2,1
9,GO:0008150,biological_process,20,20,20,1
10,GO:0008152,metabolic process,20,20,20,1
11,GO:0009058,biosynthetic process,18,18,18,1
12,GO:0009059,macromolecule biosynthetic process,18,18,18,1
13,GO:0009266,response to temperature stimulus,2,2,2,1
14,GO:0009409,response to cold,2,2,2,1
15,GO:0009628,response to abiotic stimulus,2,2,2,1
16,GO:0009889,regulation of biosynthetic process,18,18,18,1
17,GO:0009987,cellular process,18,18,18,1
18,GO:0010467,gene expression,18,18,18,1
19,GO:0010468,regulation of gene expression,18,18,18,1
20,GO:0010556,regulation of macromolecule biosynthetic...,18,18,18,1
21,GO:0016070,RNA metabolic process,18,18,18,1
22,GO:0018130,heterocycle biosynthetic process,18,18,18,1
23,GO:0019219,regulation of nucleobase-containing comp...,18,18,18,1
24,GO:0019222,regulation of metabolic process,18,18,18,1
25,GO:0019438,aromatic compound biosynthetic process,18,18,18,1
26,GO:0031323,regulation of cellular metabolic process,18,18,18,1
27,GO:0031326,regulation of cellular biosynthetic proc...,18,18,18,1
28,GO:0032501,multicellular organismal process,2,2,2,1
29,GO:0032774,RNA biosynthetic process,18,18,18,1
30,GO:0034641,cellular nitrogen compound metabolic pro...,18,18,18,1
31,GO:0034654,nucleobase-containing compound biosynthe...,18,18,18,1
32,GO:0042309,homoiothermy,2,2,2,1
33,GO:0042592,homeostatic process,2,2,2,1
34,GO:0043170,macromolecule metabolic process,18,18,18,1
35,GO:0044237,cellular metabolic process,18,18,18,1
36,GO:0044238,primary metabolic process,18,18,18,1
37,GO:0044249,cellular biosynthetic process,18,18,18,1
38,GO:0044271,cellular nitrogen compound biosynthetic ...,18,18,18,1
39,GO:0046483,heterocycle metabolic process,18,18,18,1
40,GO:0048871,multicellular organismal homeostasis,2,2,2,1
41,GO:0050789,regulation of biological process,18,18,18,1
42,GO:0050794,regulation of cellular process,18,18,18,1
43,GO:0050826,response to freezing,2,2,2,1
44,GO:0050896,response to stimulus,2,2,2,1
45,GO:0051171,regulation of nitrogen compound metaboli...,18,18,18,1
46,GO:0051252,regulation of RNA metabolic process,18,18,18,1
47,GO:0060255,regulation of macromolecule metabolic pr...,18,18,18,1
48,GO:0065007,biological regulation,18,18,18,1
49,GO:0065008,regulation of biological quality,2,2,2,1
50,GO:0071704,organic substance metabolic process,18,18,18,1
51,GO:0080090,regulation of primary metabolic process,18,18,18,1
52,GO:0090304,nucleic acid metabolic process,18,18,18,1
53,GO:0097659,nucleic acid-templated transcription,18,18,18,1
54,GO:1901360,organic cyclic compound metabolic proces...,18,18,18,1
55,GO:1901362,organic cyclic compound biosynthetic pro...,18,18,18,1
56,GO:1901576,organic substance biosynthetic process,18,18,18,1
57,GO:1903506,regulation of nucleic acid-templated tra...,18,18,18,1
58,GO:2001141,regulation of RNA biosynthetic process,18,18,18,1
