Cre12.g487650.t1.1	CHLRE_12g487650v5
Cre09.g388353.t1.1	CHLRE_09g388352v5
Cre03.g146867.t1.1	CHLRE_03g146887v5
Cre06.g252750.t1.1	CHLRE_06g252743v5
Cre09.g388355.t1.1	CHLRE_09g388353v5
Cre12.g493100.t1.1	CHLRE_12g493100v5
Cre17.g742250.t1.1	CHLRE_17g742250v5
Cre12.g551352.t1.1	CHLRE_12g551352v5
Cre08.g368026.t1.1	CHLRE_08g368000v5
Cre07.g347000.t1.1	CHLRE_07g346950v5
Cre02.g079500.t1.1	CHLRE_02g079500v5
Cre02.g146300.t1.1	CHLRE_02g146400v5
Cre12.g551353.t1.1	CHLRE_12g551353v5
Cre07.g327950.t1.1	CHLRE_07g327900v5
Cre10.g448450.t1.1	CHLRE_10g448400v5
Cre02.g141946.t1.1	CHLRE_02g141950v5
Cre02.g145600.t1.1	CHLRE_02g145602v5
Cre06.g263200.t1.1	CHLRE_06g263176v5
Cre05.g245500.t1.1	CHLRE_05g245451v5
Cre09.g388351.t1.1	CHLRE_09g388350v5
Cre03.g204500.t1.1	CHLRE_03g204465v5
Cre01.g030300.t1.1	CHLRE_01g030300v5
Cre14.g629920.t1.1	CHLRE_14g629920v5
Cre12.g494550.t1.1	CHLRE_12g494550v5
Cre01.g012650.t1.1	CHLRE_01g012650v5
Cre10.g448500.t1.1	CHLRE_10g448450v5
Cre11.g467558.t1.1	CHLRE_11g467558v5
Cre02.g081850.t1.1	CHLRE_02g081850v5
Cre12.g525450.t1.1	CHLRE_12g525450v5
Cre06.g278093.t1.1	CHLRE_06g278092v5
Cre06.g253000.t1.1	CHLRE_06g252913v5
Cre02.g108550.t1.1	CHLRE_02g108601v5
Cre16.g652483.t1.1	CHLRE_16g652483v5
Cre12.g488450.t1.1	CHLRE_12g488450v5
Cre08.g363100.t1.1	CHLRE_08g363050v5
Cre06.g257600.t1.1	CHLRE_06g257550v5
Cre14.g616050.t1.1	CHLRE_14g616050v5
Cre10.g433500.t1.1	CHLRE_10g433476v5
Cre12.g557503.t1.1	CHLRE_12g557503v5
Cre09.g413350.t1.1	CHLRE_09g413300v5
Cre09.g396735.t1.1	CHLRE_09g396700v5
Cre12.g540351.t1.1	CHLRE_12g540351v5
Cre06.g249500.t1.1	CHLRE_06g249450v5
Cre01.g011150.t1.1	CHLRE_01g011150v5
Cre02.g108700.t1.1	CHLRE_02g108750v5
Cre13.g587850.t1.1	CHLRE_13g587850v5
Cre03.g181950.t1.1	CHLRE_03g181950v5
Cre04.g217936.t1.1	CHLRE_04g217935v5
Cre09.g393000.t1.1	CHLRE_09g392988v5
Cre17.g706700.t1.1	CHLRE_17g706700v5
Cre15.g635950.t1.1	CHLRE_15g635950v5
Cre12.g506750.t1.1	CHLRE_12g506750v5
Cre16.g670756.t1.1	CHLRE_16g670756v5
Cre06.g278164.t1.1	CHLRE_06g278163v5
Cre06.g284150.t1.1	CHLRE_06g284100v5
Cre11.g479550.t1.1	CHLRE_11g479550v5
Cre09.g413700.t1.1	CHLRE_09g413650v5
Cre09.g399551.t1.1	CHLRE_09g399550v5
Cre16.g673250.t1.1	CHLRE_16g673250v5
Cre09.g402050.t1.1	CHLRE_09g402041v5
Cre03.g203451.t1.1	CHLRE_03g203450v5
Cre12.g530876.t1.1	CHLRE_12g530876v5
Cre13.g568350.t1.1	CHLRE_13g568350v5
Cre10.g442800.t1.1	CHLRE_10g442750v5
Cre03.g146047.t1.1	CHLRE_03g146067v5
Cre12.g516300.t1.1	CHLRE_12g516300v5
Cre03.g145787.t1.1	CHLRE_03g145807v5
Cre01.g049200.t1.1	CHLRE_01g049200v5
Cre04.g222402.t1.1	CHLRE_04g222350v5
Cre10.g433476.t1.1	CHLRE_10g433450v5
Cre04.g216204.t1.1	CHLRE_04g216203v5
Cre11.g467674.t1.1	CHLRE_11g467674v5
Cre01.g007450.t1.1	CHLRE_01g007450v5
Cre07.g315050.t1.1	CHLRE_07g315000v5
Cre07.g334150.t1.1	CHLRE_07g334100v5
Cre12.g488800.t1.1	CHLRE_12g488800v5
Cre17.g740050.t1.1	CHLRE_17g740050v5
Cre13.g591600.t1.1	CHLRE_13g591600v5
Cre09.g400200.t1.1	CHLRE_09g400182v5
Cre08.g374250.t1.1	CHLRE_08g374200v5
Cre07.g331700.t1.1	CHLRE_07g331650v5
Cre11.g467721.t1.1	CHLRE_11g467721v5
Cre09.g402515.t1.1	CHLRE_09g402500v5
Cre03.g144564.t1.1	CHLRE_03g144584v5
Cre02.g087900.t1.1	CHLRE_02g087900v5
Cre12.g546800.t1.1	CHLRE_12g546800v5
Cre12.g510350.t1.1	CHLRE_12g510350v5
Cre13.g587300.t1.1	CHLRE_13g587300v5
Cre03.g149350.t1.1	CHLRE_03g149400v5
Cre02.g079351.t1.1	CHLRE_02g079351v5
Cre16.g672609.t1.1	CHLRE_16g672609v5
Cre17.g701150.t1.1	CHLRE_17g701150v5
Cre10.g461200.t1.1	CHLRE_10g461200v5
Cre04.g224867.t1.1	CHLRE_04g224850v5
Cre16.g668850.t1.1	CHLRE_16g668850v5
Cre14.g632350.t1.1	CHLRE_14g632350v5
Cre14.g633050.t1.1	CHLRE_14g633050v5
Cre06.g300500.t1.1	CHLRE_06g300450v5
Cre02.g090050.t1.1	CHLRE_02g090050v5
Cre03.g170250.t1.1	CHLRE_03g170250v5
Cre12.g537400.t1.1	CHLRE_12g537400v5
Cre17.g697300.t1.1	CHLRE_17g697300v5
Cre17.g735450.t1.1	CHLRE_17g735450v5
Cre16.g685650.t1.1	CHLRE_16g685650v5
Cre06.g308200.t1.1	CHLRE_06g308150v5
Cre24.g755597.t1.1	CHLRE_24g755597v5
Cre02.g095145.t1.1	CHLRE_02g095145v5
Cre17.g732450.t1.1	CHLRE_17g732450v5
Cre07.g335200.t1.1	CHLRE_07g335150v5
Cre03.g186050.t1.1	CHLRE_03g186050v5
Cre03.g149400.t1.1	CHLRE_03g149450v5
Cre12.g556228.t1.1	CHLRE_12g556228v5
Cre16.g669050.t1.1	CHLRE_16g669050v5
Cre06.g294200.t1.1	CHLRE_06g294150v5
Cre01.g022150.t1.1	CHLRE_01g022150v5
Cre01.g023650.t1.1	CHLRE_01g023650v5
Cre05.g241350.t1.1	CHLRE_05g241300v5
Cre14.g616700.t1.1	CHLRE_14g616700v5
Cre13.g590500.t1.1	CHLRE_13g590500v5
Cre03.g163950.t1.1	CHLRE_03g163950v5
Cre05.g234656.t1.1	CHLRE_05g234655v5
Cre12.g530600.t1.1	CHLRE_12g530600v5
Cre03.g182700.t1.1	CHLRE_03g182700v5
Cre01.g030350.t1.1	CHLRE_01g030350v5
Cre05.g234642.t1.1	CHLRE_05g234641v5
Cre08.g358600.t1.1	CHLRE_08g358583v5
Cre01.g006950.t1.1	CHLRE_01g006950v5
Cre10.g447700.t1.1	CHLRE_10g447650v5
Cre06.g257200.t1.1	CHLRE_06g257183v5
Cre14.g629840.t1.1	CHLRE_14g629840v5
Cre07.g328800.t1.1	CHLRE_07g328750v5
Cre03.g177400.t1.1	CHLRE_03g177400v5
Cre11.g467628.t1.1	CHLRE_11g467628v5
Cre09.g392319.t1.1	CHLRE_09g392300v5
Cre03.g178000.t1.1	CHLRE_03g178000v5
Cre03.g154726.t1.1	CHLRE_03g154750v5
Cre07.g317950.t1.1	CHLRE_07g317908v5
Cre02.g102200.t1.1	CHLRE_02g102200v5
Cre10.g459500.t1.1	CHLRE_10g459500v5
Cre17.g707551.t1.1	CHLRE_17g707551v5
Cre09.g390615.t1.1	CHLRE_09g390604v5
Cre01.g000650.t1.1	CHLRE_01g000650v5
Cre07.g331450.t1.1	CHLRE_07g331401v5
Cre16.g677100.t1.1	CHLRE_16g677100v5
Cre09.g403151.t1.1	CHLRE_09g403150v5
Cre02.g112500.t1.1	CHLRE_02g112550v5
Cre06.g264100.t1.1	CHLRE_06g264050v5
Cre01.g042450.t1.1	CHLRE_01g042450v5
Cre06.g278194.t1.1	CHLRE_06g278193v5
Cre03.g178350.t1.1	CHLRE_03g178350v5
Cre03.g201900.t1.1	CHLRE_03g201888v5
Cre16.g684939.t1.1	CHLRE_16g684939v5
Cre09.g401050.t1.1	CHLRE_09g401034v5
Cre12.g507500.t1.1	CHLRE_12g507500v5
Cre03.g198851.t1.1	CHLRE_03g198851v5
Cre06.g287450.t1.1	CHLRE_06g287400v5
Cre12.g508100.t1.1	CHLRE_12g508100v5
Cre03.g149050.t1.1	CHLRE_03g149100v5
Cre04.g221200.t1.1	CHLRE_04g221150v5
Cre06.g249350.t1.1	CHLRE_06g249300v5
Cre01.g018550.t1.1	CHLRE_01g018550v5
Cre07.g325749.t1.1	CHLRE_07g325748v5
Cre12.g528800.t1.1	CHLRE_12g528800v5
Cre10.g433050.t1.1	CHLRE_10g433000v5
Cre07.g340450.t1.1	CHLRE_07g340400v5
Cre02.g103450.t1.1	CHLRE_02g103500v5
Cre03.g168800.t1.1	CHLRE_03g168800v5
Cre03.g177711.t1.1	CHLRE_03g177711v5
Cre07.g321400.t1.1	CHLRE_07g321350v5
Cre09.g393432.t1.1	CHLRE_09g393400v5
Cre11.g467693.t1.1	CHLRE_11g467693v5
Cre04.g230536.t1.1	CHLRE_04g230438v5
Cre07.g346672.t1.1	CHLRE_07g346650v5
Cre04.g221800.t1.1	CHLRE_04g221770v5
Cre03.g146127.t1.1	CHLRE_03g146147v5
Cre10.g430750.t1.1	CHLRE_10g430700v5
Cre12.g531800.t1.1	CHLRE_12g531800v5
Cre06.g306200.t1.1	CHLRE_06g306150v5
Cre15.g644051.t1.1	CHLRE_15g644051v5
Cre10.g427850.t1.1	CHLRE_10g427800v5
Cre01.g014450.t1.1	CHLRE_01g014450v5
Cre11.g467569.t1.1	CHLRE_11g467569v5
Cre09.g399701.t1.1	CHLRE_09g399663v5
Cre09.g398050.t1.1	CHLRE_09g398030v5
Cre12.g512650.t1.1	CHLRE_12g512650v5
Cre17.g720600.t1.1	CHLRE_17g720600v5
Cre12.g517850.t1.1	CHLRE_12g517850v5
Cre02.g106650.t1.1	CHLRE_02g106700v5
Cre16.g656350.t1.1	CHLRE_16g656350v5
Cre07.g312950.t1.1	CHLRE_07g312900v5
Cre16.g687800.t1.1	CHLRE_16g687800v5
