"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CHLRE_04g219950v5",77.7369330459793,22.2120279991943,4.78540385699586,4.4326515865916,9.30812161624819e-06,8.37283008907176e-05
"CHLRE_12g525450v5",1134.40879277819,13.5023976022693,1.44379548190217,8.65939654125917,4.74268267499507e-18,1.36384960863089e-16
"CHLRE_17g742250v5",1104.54655500214,13.4639085138605,1.44385165112267,8.6324024384148,6.0076580034198e-18,1.71705112232298e-16
"CHLRE_09g413300v5",1061.96195934092,13.4071901618785,1.44386757002112,8.59302502493151,8.47090794801576e-18,2.39906380855016e-16
"CHLRE_06g249450v5",835.902674355489,13.0618748943776,1.44437440033222,8.35093372715777,6.77254156618336e-17,1.82409721837319e-15
"CHLRE_01g004124v5",807.974511792696,13.0128280921824,1.44468586421231,8.31518352173551,9.16103952941577e-17,2.45326863730429e-15
"CHLRE_06g263176v5",732.420889743625,12.8712108855881,1.44450290688693,8.21819798976522,2.06583714268924e-16,5.46949403274041e-15
"CHLRE_03g204465v5",1720.8229196589,12.6604460080714,1.44294999513253,8.08097719768901,6.42498246190552e-16,1.65421173798813e-14
"CHLRE_06g252743v5",2881.62472471962,12.4041179309713,1.02121230300901,11.1672351550887,5.89885183375194e-29,2.55234579806693e-27
"CHLRE_12g487650v5",448.545311758667,12.1637827587489,1.44552908583112,7.72297345530766,1.13646848057503e-14,2.70265506856343e-13
"CHLRE_12g488450v5",418.188900172058,12.0626953935223,1.44584495331247,7.65137047937081,1.98848534164299e-14,4.63450972643277e-13
"CHLRE_09g388352v5",371.624390601814,11.8923814059882,1.44612713928374,7.53210496511611,4.99287951960871e-14,1.13536379538353e-12
"CHLRE_10g418450v5",357.751575167673,11.8374903625473,1.44625029306429,7.49350953601885,6.70559590704211e-14,1.5028896725951e-12
"CHLRE_09g399550v5",345.751478345022,11.7882721377207,1.44639946395912,7.45870861165199,8.73745967265586e-14,1.95359564834071e-12
"CHLRE_09g388350v5",338.00217031261,11.7555571941527,1.4466364686872,7.43487215133822,1.04669146635961e-13,2.31809915748742e-12
"CHLRE_02g141946v5",328.650212609656,11.7150791806648,1.65583445211661,6.47110534931077,9.72885714805281e-11,1.65019780228133e-09
"CHLRE_03g146887v5",321.754803135466,11.6845042964588,1.44684252271433,7.38470436742092,1.52792499244281e-13,3.35999693632248e-12
"CHLRE_12g551352v5",2512.70537067079,11.6204543300922,0.833821090528536,12.7370900673191,3.67861176557225e-37,1.95342645233172e-35
"CHLRE_07g334100v5",828.588645318545,11.6058649471047,1.44379111530849,7.3458444470609,2.04464055537017e-13,4.47522497201162e-12
"CHLRE_02g079500v5",291.900941816746,11.5440032765431,1.44729910142863,7.2852966371188,3.20963291716022e-13,6.94380306568967e-12
"CHLRE_12g546100v5",290.926401762136,11.539209824125,1.44877613728105,7.27456061217589,3.47549802800035e-13,7.50161768353147e-12
"CHLRE_11g479350v5",284.78508814836,11.5083865847147,1.79565755804549,5.85211057511026,4.85373739248831e-09,6.73041983237325e-08
"CHLRE_14g629920v5",1496.51065860871,11.4584829774605,1.02133632016389,10.2399990786407,1.31237620031179e-24,5.00631345637307e-23
"CHLRE_13g574850v5",273.092750231609,11.4479071480082,1.44828157125494,7.214002687996,5.4330682596235e-13,1.14621796736888e-11
