Cre06.g278185.t1.1	CHLRE_06g278184v5
Cre11.g467707.t1.1	CHLRE_11g467707v5
Cre11.g467535.t1.1	CHLRE_11g467535v5
Cre02.g078804.t1.1	CHLRE_02g078804v5
Cre06.g278210.t1.1	CHLRE_06g278209v5
Cre17.g703700.t1.1	CHLRE_17g703700v5
Cre17.g722300.t1.1	CHLRE_17g722300v5
Cre08.g378150.t1.1	CHLRE_08g378100v5
Cre10.g451900.t1.1	CHLRE_10g451850v5
Cre17.g742300.t1.1	CHLRE_17g742300v5
Cre11.g467770.t1.1	CHLRE_11g467770v5
Cre02.g095140.t1.1	CHLRE_02g095140v5
Cre11.g467543.t1.1	CHLRE_11g467543v5
Cre17.g746997.t1.1	CHLRE_17g746997v5
Cre15.g637150.t1.1	CHLRE_15g637150v5
Cre06.g306000.t1.1	CHLRE_06g305950v5
Cre09.g414650.t1.1	CHLRE_09g414626v5
Cre07.g342352.t1.1	CHLRE_07g342350v5
Cre03.g177350.t1.1	CHLRE_03g177350v5
Cre02.g078100.t1.1	CHLRE_02g078100v5
Cre05.g238687.t1.1	CHLRE_05g238650v5
Cre07.g313700.t1.1	CHLRE_07g313650v5
Cre02.g083950.t1.1	CHLRE_02g083950v5
Cre16.g682369.t1.1	CHLRE_16g682369v5
Cre04.g217932.t1.1	CHLRE_04g217931v5
Cre11.g476650.t1.1	CHLRE_11g476650v5
Cre16.g673109.t1.1	CHLRE_16g673109v5
Cre08.g360600.t1.1	CHLRE_08g360564v5
Cre16.g694203.t1.1	CHLRE_16g694203v5
Cre17.g712000.t1.1	CHLRE_17g712000v5
Cre06.g278166.t1.1	CHLRE_06g278165v5
Cre06.g278086.t1.1	CHLRE_06g278085v5
Cre09.g387875.t1.1	CHLRE_09g387850v5
Cre09.g399252.t1.1	CHLRE_09g399250v5
Cre18.g749497.t1.1	CHLRE_18g749497v5
Cre03.g144627.t1.1	CHLRE_03g144647v5
Cre17.g699750.t1.1	CHLRE_17g699750v5
Cre10.g443950.t1.1	CHLRE_10g443900v5
Cre03.g213089.t1.1	CHLRE_03g212977v5
Cre12.g520200.t1.1	CHLRE_12g520200v5
Cre18.g748947.t1.1	CHLRE_18g748947v5
Cre09.g390604.t1.1	CHLRE_09g390603v5
Cre07.g336950.t1.1	CHLRE_07g336900v5
Cre13.g575200.t1.1	CHLRE_13g575200v5
Cre11.g467679.t1.1	CHLRE_11g467679v5
Cre13.g583650.t1.1	CHLRE_13g583650v5
Cre03.g201300.t1.1	CHLRE_03g201250v5
Cre03.g168550.t1.1	CHLRE_03g168550v5
Cre16.g654500.t1.1	CHLRE_16g654500v5
Cre01.g020305.t1.1	CHLRE_01g020305v5
Cre02.g098850.t1.1	CHLRE_02g098850v5
Cre09.g399141.t1.1	CHLRE_09g399104v5
Cre09.g403050.t1.1	CHLRE_09g403034v5
Cre07.g343101.t1.1	CHLRE_07g343050v5
Cre09.g390801.t1.1	CHLRE_09g390800v5
Cre11.g467547.t1.1	CHLRE_11g467547v5
Cre03.g146527.t1.1	CHLRE_03g146547v5
Cre16.g659150.t1.1	CHLRE_16g659150v5
Cre09.g399363.t1.1	CHLRE_09g399350v5
Cre01.g055453.t1.1	CHLRE_01g055453v5
Cre06.g250902.t1.1	CHLRE_06g250850v5
Cre10.g464200.t1.1	CHLRE_10g464200v5
Cre03.g144667.t1.1	CHLRE_03g144687v5
Cre48.g761197.t1.1	CHLRE_48g761197v5
Cre10.g450850.t1.1	CHLRE_10g450800v5
Cre06.g278167.t1.1	CHLRE_06g278166v5
Cre16.g691215.t1.1	CHLRE_16g691215v5
Cre03.g164101.t1.1	CHLRE_03g164101v5
Cre01.g070567.t1.1	CHLRE_01g070567v5
Cre06.g305900.t1.1	CHLRE_06g305850v5
Cre16.g657100.t1.1	CHLRE_16g657100v5
Cre01.g008650.t1.1	CHLRE_01g008650v5
Cre02.g095062.t1.1	CHLRE_02g095062v5
Cre12.g504050.t1.1	CHLRE_12g504050v5
Cre03.g201776.t1.1	CHLRE_03g201750v5
Cre03.g155750.t1.1	CHLRE_03g155800v5
Cre04.g214501.t1.1	CHLRE_04g214500v5
Cre16.g672041.t1.1	CHLRE_16g672041v5
Cre11.g467590.t1.1	CHLRE_11g467590v5
Cre09.g394399.t1.1	CHLRE_09g394362v5
Cre02.g094250.t1.1	CHLRE_02g094250v5
Cre02.g116750.t1.1	CHLRE_02g116800v5
Cre03.g150700.t1.1	CHLRE_03g150750v5
Cre11.g483351.t1.1	CHLRE_11g483351v5
Cre05.g241400.t1.1	CHLRE_05g241350v5
Cre04.g214502.t1.1	CHLRE_04g214501v5
Cre09.g396800.t1.1	CHLRE_09g396772v5
Cre09.g390245.t1.1	CHLRE_09g390208v5
Cre09.g400367.t1.1	CHLRE_09g400330v5
Cre14.g632750.t1.1	CHLRE_14g632750v5
Cre16.g651650.t1.1	CHLRE_16g651650v5
Cre16.g652000.t1.1	CHLRE_16g652000v5
Cre01.g037850.t1.1	CHLRE_01g037850v5
Cre07.g315200.t1.1	CHLRE_07g315150v5
Cre07.g326250.t1.1	CHLRE_07g326200v5
Cre07.g345900.t1.1	CHLRE_07g345850v5
Cre08.g362100.t1.1	CHLRE_08g362076v5
Cre05.g235550.t1.1	CHLRE_05g235500v5
Cre17.g727600.t1.1	CHLRE_17g727600v5
Cre06.g293582.t1.1	CHLRE_06g293516v5
Cre07.g325731.t1.1	CHLRE_07g325730v5
Cre02.g147302.t1.1	CHLRE_02g147350v5
Cre03.g157200.t1.1	CHLRE_03g157250v5
Cre08.g385200.t1.1	CHLRE_08g385150v5
Cre16.g690400.t1.1	CHLRE_16g690400v5
Cre01.g034400.t1.1	CHLRE_01g034400v5
Cre06.g276400.t1.1	CHLRE_06g276371v5
Cre10.g439400.t1.1	CHLRE_10g439350v5
Cre10.g425251.t1.1	CHLRE_10g425200v5
Cre09.g402812.t1.1	CHLRE_09g402800v5
Cre09.g398983.t1.1	CHLRE_09g398956v5
Cre13.g579734.t1.1	CHLRE_13g579734v5
Cre02.g103350.t1.1	CHLRE_02g103400v5
