Cre04.g220000.t1.1	CHLRE_04g219950v5
Cre12.g525450.t1.1	CHLRE_12g525450v5
Cre17.g742250.t1.1	CHLRE_17g742250v5
Cre09.g413350.t1.1	CHLRE_09g413300v5
Cre06.g249500.t1.1	CHLRE_06g249450v5
Cre01.g004124.t1.1	CHLRE_01g004124v5
Cre06.g263200.t1.1	CHLRE_06g263176v5
Cre03.g204500.t1.1	CHLRE_03g204465v5
Cre06.g252750.t1.1	CHLRE_06g252743v5
Cre12.g487650.t1.1	CHLRE_12g487650v5
Cre12.g488450.t1.1	CHLRE_12g488450v5
Cre09.g388353.t1.1	CHLRE_09g388352v5
Cre10.g418500.t1.1	CHLRE_10g418450v5
Cre09.g399551.t1.1	CHLRE_09g399550v5
Cre09.g388351.t1.1	CHLRE_09g388350v5
Cre02.g141926.t1.1	CHLRE_02g141946v5
Cre03.g146867.t1.1	CHLRE_03g146887v5
Cre12.g551352.t1.1	CHLRE_12g551352v5
Cre07.g334150.t1.1	CHLRE_07g334100v5
Cre02.g079500.t1.1	CHLRE_02g079500v5
Cre12.g546100.t1.1	CHLRE_12g546100v5
Cre11.g479350.t1.1	CHLRE_11g479350v5
Cre14.g629920.t1.1	CHLRE_14g629920v5
Cre13.g574850.t1.1	CHLRE_13g574850v5
Cre09.g388355.t1.1	CHLRE_09g388353v5
Cre01.g063997.t1.1	CHLRE_01g063997v5
Cre02.g111500.t1.1	CHLRE_02g111526v5
Cre12.g530850.t1.1	CHLRE_12g530850v5
Cre17.g746647.t1.1	CHLRE_17g746647v5
Cre12.g493100.t1.1	CHLRE_12g493100v5
Cre16.g673850.t1.1	CHLRE_16g673850v5
Cre08.g368026.t1.1	CHLRE_08g368000v5
Cre17.g733150.t1.1	CHLRE_17g733150v5
Cre01.g012950.t1.1	CHLRE_01g012950v5
Cre10.g441850.t1.1	CHLRE_10g441800v5
Cre16.g677205.t1.1	CHLRE_16g677205v5
Cre07.g347000.t1.1	CHLRE_07g346950v5
Cre13.g590600.t1.1	CHLRE_13g590600v5
Cre07.g312800.t1.1	CHLRE_07g312750v5
Cre12.g551353.t1.1	CHLRE_12g551353v5
Cre06.g292315.t1.1	CHLRE_06g292282v5
Cre04.g223500.t1.1	CHLRE_04g223450v5
Cre13.g571400.t1.1	CHLRE_13g571400v5
Cre09.g387912.t1.1	CHLRE_09g387900v5
Cre08.g371052.t1.1	CHLRE_08g371000v5
Cre14.g617200.t1.1	CHLRE_14g617200v5
Cre03.g212641.t1.1	CHLRE_03g212529v5
Cre06.g259950.t1.1	CHLRE_06g259900v5
Cre02.g095050.t1.1	CHLRE_02g095050v5
Cre16.g654050.t1.1	CHLRE_16g654050v5
Cre11.g467581.t1.1	CHLRE_11g467581v5
Cre01.g011150.t1.1	CHLRE_01g011150v5
Cre02.g146300.t1.1	CHLRE_02g146400v5
Cre06.g283634.t1.1	CHLRE_06g283600v5
Cre14.g616050.t1.1	CHLRE_14g616050v5
Cre08.g358567.t1.1	CHLRE_08g358565v5
Cre09.g399067.t1.1	CHLRE_09g399050v5
Cre09.g393506.t1.1	CHLRE_09g393469v5
Cre10.g448450.t1.1	CHLRE_10g448400v5
Cre06.g291050.t1.1	CHLRE_06g290950v5
Cre07.g327950.t1.1	CHLRE_07g327900v5
Cre02.g144750.t1.1	CHLRE_02g144800v5
Cre02.g141946.t1.1	CHLRE_02g141950v5
Cre02.g108550.t1.1	CHLRE_02g108601v5
Cre07.g356550.t1.1	CHLRE_07g356500v5
Cre07.g315050.t1.1	CHLRE_07g315000v5
Cre16.g677382.t1.1	CHLRE_16g677382v5
Cre02.g145600.t1.1	CHLRE_02g145602v5
Cre16.g648700.t1.1	CHLRE_16g648700v5
Cre10.g461200.t1.1	CHLRE_10g461200v5
Cre03.g159550.t1.1	CHLRE_03g159581v5
Cre03.g200879.t1.1	CHLRE_03g200850v5
Cre16.g673393.t1.1	CHLRE_16g673393v5
Cre16.g672161.t1.1	CHLRE_16g672161v5
Cre12.g560350.t1.1	CHLRE_12g560350v5
Cre02.g095151.t1.1	CHLRE_02g095151v5
Cre04.g216204.t1.1	CHLRE_04g216203v5
Cre14.g611484.t1.1	CHLRE_14g611484v5
Cre06.g267800.t1.1	CHLRE_06g267750v5
Cre02.g075000.t1.1	CHLRE_02g075000v5
Cre12.g490150.t1.1	CHLRE_12g490150v5
Cre10.g434850.t1.1	CHLRE_10g434800v5
Cre06.g249650.t1.1	CHLRE_06g249600v5
Cre03.g146547.t1.1	CHLRE_03g146567v5
Cre05.g245500.t1.1	CHLRE_05g245451v5
Cre17.g737400.t1.1	CHLRE_17g737400v5
Cre07.g336650.t1.1	CHLRE_07g336600v5
Cre10.g419050.t1.1	CHLRE_10g419000v5
Cre16.g669250.t1.1	CHLRE_16g669250v5
Cre08.g363100.t1.1	CHLRE_08g363050v5
Cre11.g467558.t1.1	CHLRE_11g467558v5
Cre17.g716750.t1.1	CHLRE_17g716750v5
Cre06.g273100.t1.1	CHLRE_06g273050v5
Cre01.g049200.t1.1	CHLRE_01g049200v5
Cre04.g225350.t1.1	CHLRE_04g225301v5
Cre01.g030300.t1.1	CHLRE_01g030300v5
Cre09.g400330.t1.1	CHLRE_09g400312v5
Cre09.g395769.t1.1	CHLRE_09g395750v5
Cre17.g706700.t1.1	CHLRE_17g706700v5
Cre14.g623439.t1.1	CHLRE_14g623439v5
Cre07.g347600.t1.1	CHLRE_07g347550v5
Cre17.g712200.t1.1	CHLRE_17g712200v5
Cre17.g726700.t1.1	CHLRE_17g726700v5
Cre03.g153950.t1.1	CHLRE_03g154000v5
Cre01.g021450.t1.1	CHLRE_01g021450v5
Cre12.g494550.t1.1	CHLRE_12g494550v5
Cre02.g108000.t1.1	CHLRE_02g108050v5
Cre02.g084750.t1.1	CHLRE_02g084750v5
Cre17.g728400.t1.1	CHLRE_17g728400v5
Cre11.g468365.t1.1	CHLRE_11g468365v5
Cre12.g554100.t1.1	CHLRE_12g554100v5
Cre04.g226100.t1.1	CHLRE_04g226050v5
Cre01.g046502.t1.1	CHLRE_01g046502v5
Cre11.g467723.t1.1	CHLRE_11g467723v5
Cre15.g635950.t1.1	CHLRE_15g635950v5
Cre08.g363874.t1.1	CHLRE_08g363837v5
Cre02.g083850.t1.1	CHLRE_02g083850v5
Cre10.g448500.t1.1	CHLRE_10g448450v5
Cre10.g419200.t1.1	CHLRE_10g419150v5
Cre08.g375084.t1.1	CHLRE_08g375050v5
Cre04.g217943.t1.1	CHLRE_04g217942v5
Cre09.g411525.t1.1	CHLRE_09g411500v5
Cre02.g081850.t1.1	CHLRE_02g081850v5
Cre09.g400200.t1.1	CHLRE_09g400182v5
Cre04.g222402.t1.1	CHLRE_04g222350v5
Cre04.g225750.t1.1	CHLRE_04g225700v5
Cre14.g623850.t1.1	CHLRE_14g623850v5
Cre16.g675861.t1.1	CHLRE_16g675861v5
Cre16.g686510.t1.1	CHLRE_16g686510v5
Cre12.g561150.t1.1	CHLRE_12g561150v5
Cre14.g625500.t1.1	CHLRE_14g625500v5
Cre01.g056696.t1.1	CHLRE_01g056696v5
Cre13.g567550.t1.1	CHLRE_13g567550v5
Cre16.g672609.t1.1	CHLRE_16g672609v5
Cre06.g278093.t1.1	CHLRE_06g278092v5
Cre06.g306250.t1.1	CHLRE_06g306200v5
Cre17.g736950.t1.1	CHLRE_17g736950v5
Cre16.g687630.t1.1	CHLRE_16g687630v5
Cre03.g201327.t1.1	CHLRE_03g201301v5
Cre07.g327300.t1.1	CHLRE_07g327250v5
Cre03.g181950.t1.1	CHLRE_03g181950v5
Cre04.g213751.t1.1	CHLRE_04g213750v5
Cre13.g563733.t1.1	CHLRE_13g563733v5
Cre12.g522626.t1.1	CHLRE_12g522626v5
Cre17.g740050.t1.1	CHLRE_17g740050v5
Cre13.g587300.t1.1	CHLRE_13g587300v5
Cre16.g652483.t1.1	CHLRE_16g652483v5
Cre14.g620250.t1.1	CHLRE_14g620250v5
Cre17.g743307.t1.1	CHLRE_17g743307v5
Cre16.g686958.t1.1	CHLRE_16g686958v5
Cre02.g074150.t1.1	CHLRE_02g074150v5
Cre12.g546800.t1.1	CHLRE_12g546800v5
Cre02.g147600.t1.1	CHLRE_02g147650v5
Cre12.g515600.t1.1	CHLRE_12g515600v5
Cre16.g690991.t1.1	CHLRE_16g690991v5
Cre17.g714150.t1.1	CHLRE_17g714150v5
Cre01.g051700.t1.1	CHLRE_01g051700v5
Cre12.g510350.t1.1	CHLRE_12g510350v5
Cre01.g012650.t1.1	CHLRE_01g012650v5
Cre10.g425600.t1.1	CHLRE_10g425550v5
Cre05.g240251.t1.1	CHLRE_05g240225v5
Cre12.g553650.t1.1	CHLRE_12g553650v5
Cre10.g421750.t1.1	CHLRE_10g421700v5
Cre03.g203451.t1.1	CHLRE_03g203450v5
Cre12.g524850.t1.1	CHLRE_12g524850v5
Cre06.g308200.t1.1	CHLRE_06g308150v5
Cre06.g257600.t1.1	CHLRE_06g257550v5
Cre16.g672050.t1.1	CHLRE_16g672050v5
Cre03.g154425.t1.1	CHLRE_03g154500v5
Cre16.g682050.t1.1	CHLRE_16g682050v5
Cre09.g398051.t1.1	CHLRE_09g398050v5
Cre12.g539207.t1.1	CHLRE_12g539207v5
Cre09.g386600.t1.1	CHLRE_09g386550v5
Cre08.g358575.t1.1	CHLRE_08g358574v5
Cre03.g146047.t1.1	CHLRE_03g146067v5
Cre12.g557503.t1.1	CHLRE_12g557503v5
Cre05.g245701.t1.1	CHLRE_05g245700v5
Cre02.g108700.t1.1	CHLRE_02g108750v5
Cre12.g506750.t1.1	CHLRE_12g506750v5
Cre07.g354400.t1.1	CHLRE_07g354350v5
Cre21.g752797.t1.1	CHLRE_21g752797v5
Cre09.g402626.t1.1	CHLRE_09g402602v5
Cre06.g284850.t1.1	CHLRE_06g284800v5
Cre09.g396735.t1.1	CHLRE_09g396700v5
Cre13.g562700.t1.1	CHLRE_13g562700v5
Cre08.g382716.t1.1	CHLRE_08g382700v5
Cre16.g682450.t1.1	CHLRE_16g682450v5
Cre16.g652300.t1.1	CHLRE_16g652300v5
Cre13.g581050.t1.1	CHLRE_13g581050v5
Cre11.g479550.t1.1	CHLRE_11g479550v5
Cre07.g317100.t1.1	CHLRE_07g317050v5
Cre07.g331401.t1.1	CHLRE_07g331350v5
Cre03.g156200.t1.1	CHLRE_03g156250v5
Cre02.g105000.t1.1	CHLRE_02g105026v5
Cre14.g622340.t1.1	CHLRE_14g622340v5
Cre17.g701150.t1.1	CHLRE_17g701150v5
Cre12.g540351.t1.1	CHLRE_12g540351v5
Cre01.g006900.t1.1	CHLRE_01g006900v5
Cre09.g393000.t1.1	CHLRE_09g392988v5
Cre17.g747947.t1.1	CHLRE_17g747947v5
Cre02.g086750.t1.1	CHLRE_02g086750v5
Cre10.g437900.t1.1	CHLRE_10g437850v5
Cre07.g346698.t1.1	CHLRE_07g346672v5
Cre14.g622901.t1.1	CHLRE_14g622901v5
Cre14.g608100.t1.1	CHLRE_14g608100v5
Cre16.g683953.t1.1	CHLRE_16g683953v5
Cre01.g012800.t1.1	CHLRE_01g012800v5
Cre13.g568350.t1.1	CHLRE_13g568350v5
Cre17.g705650.t1.1	CHLRE_17g705650v5
Cre17.g734725.t1.1	CHLRE_17g734725v5
Cre16.g670756.t1.1	CHLRE_16g670756v5
Cre09.g386850.t1.1	CHLRE_09g386838v5
Cre08.g360350.t1.1	CHLRE_08g360300v5
Cre28.g757497.t1.1	CHLRE_28g757497v5
Cre10.g419100.t1.1	CHLRE_10g419050v5
Cre13.g587850.t1.1	CHLRE_13g587850v5
Cre06.g276200.t1.1	CHLRE_06g276150v5
Cre01.g021150.t1.1	CHLRE_01g021150v5
Cre02.g102900.t1.1	CHLRE_02g102950v5
Cre07.g320700.t1.1	CHLRE_07g320650v5
Cre17.g745497.t1.1	CHLRE_17g745497v5
Cre10.g427200.t1.1	CHLRE_10g427150v5
Cre16.g681600.t1.1	CHLRE_16g681600v5
Cre10.g456400.t1.1	CHLRE_10g456350v5
Cre11.g467717.t1.1	CHLRE_11g467717v5
Cre14.g632831.t1.1	CHLRE_14g632831v5
Cre13.g581000.t1.1	CHLRE_13g581000v5
Cre12.g516750.t1.1	CHLRE_12g516750v5
Cre13.g603350.t1.1	CHLRE_13g603350v5
Cre09.g402050.t1.1	CHLRE_09g402041v5
Cre12.g539204.t1.1	CHLRE_12g539204v5
Cre12.g516300.t1.1	CHLRE_12g516300v5
Cre01.g007450.t1.1	CHLRE_01g007450v5
Cre12.g540150.t1.1	CHLRE_12g540150v5
Cre09.g400851.t1.1	CHLRE_09g400850v5
Cre09.g401960.t1.1	CHLRE_09g401950v5
Cre17.g741400.t1.1	CHLRE_17g741400v5
Cre11.g469750.t1.1	CHLRE_11g469750v5
Cre06.g305850.t1.1	CHLRE_06g305800v5
Cre11.g467736.t1.1	CHLRE_11g467736v5
Cre05.g241652.t1.1	CHLRE_05g241651v5
Cre17.g706250.t1.1	CHLRE_17g706250v5
Cre10.g435750.t1.1	CHLRE_10g435650v5
Cre08.g358560.t1.1	CHLRE_08g358559v5
Cre09.g417050.t1.1	CHLRE_09g417037v5
Cre01.g010800.t1.1	CHLRE_01g010800v5
Cre12.g530876.t1.1	CHLRE_12g530876v5
Cre10.g433866.t1.1	CHLRE_10g433850v5
Cre10.g448150.t1.1	CHLRE_10g448100v5
Cre11.g467615.t1.1	CHLRE_11g467615v5
Cre11.g467627.t1.1	CHLRE_11g467627v5
Cre14.g630350.t1.1	CHLRE_14g630350v5
Cre08.g374150.t1.1	CHLRE_08g374100v5
Cre06.g310800.t1.1	CHLRE_06g310750v5
Cre06.g278164.t1.1	CHLRE_06g278163v5
Cre03.g145767.t1.1	CHLRE_03g145787v5
Cre15.g634566.t1.1	CHLRE_15g634566v5
Cre16.g679152.t1.1	CHLRE_16g679152v5
Cre16.g679850.t1.1	CHLRE_16g679850v5
Cre08.g374100.t1.1	CHLRE_08g374050v5
Cre16.g684827.t1.1	CHLRE_16g684827v5
Cre03.g162450.t1.1	CHLRE_03g162450v5
Cre02.g078939.t1.1	CHLRE_02g078939v5
Cre01.g053700.t1.1	CHLRE_01g053700v5
Cre10.g462050.t1.1	CHLRE_10g462050v5
Cre02.g085150.t1.1	CHLRE_02g085150v5
Cre10.g447250.t1.1	CHLRE_10g447225v5
Cre02.g095120.t1.1	CHLRE_02g095120v5
Cre09.g413700.t1.1	CHLRE_09g413650v5
Cre03.g166550.t1.1	CHLRE_03g166550v5
Cre03.g190311.t1.1	CHLRE_03g190311v5
Cre02.g095054.t1.1	CHLRE_02g095054v5
Cre03.g181600.t1.1	CHLRE_03g181600v5
Cre17.g710200.t1.1	CHLRE_17g710200v5
Cre02.g143327.t1.1	CHLRE_02g143347v5
Cre02.g117376.t1.1	CHLRE_02g117400v5
Cre06.g253000.t1.1	CHLRE_06g252913v5
Cre10.g447225.t1.1	CHLRE_10g447200v5
Cre08.g374450.t1.1	CHLRE_08g374436v5
Cre04.g225100.t1.1	CHLRE_04g225050v5
Cre10.g433500.t1.1	CHLRE_10g433476v5
Cre02.g104450.t1.1	CHLRE_02g104500v5
Cre02.g086887.t1.1	CHLRE_02g086887v5
Cre01.g004750.t1.1	CHLRE_01g004750v5
Cre02.g112701.t1.1	CHLRE_02g112750v5
Cre21.g752547.t1.1	CHLRE_21g752547v5
Cre01.g014300.t1.1	CHLRE_01g014300v5
Cre13.g564450.t1.1	CHLRE_13g564450v5
Cre17.g725950.t1.1	CHLRE_17g725950v5
Cre08.g373370.t1.1	CHLRE_08g373369v5
Cre03.g208273.t1.1	CHLRE_03g208161v5
Cre10.g439550.t1.1	CHLRE_10g439500v5
Cre03.g205921.t1.1	CHLRE_03g205900v5
Cre04.g225776.t1.1	CHLRE_04g225750v5
Cre07.g331700.t1.1	CHLRE_07g331650v5
Cre08.g358569.t1.1	CHLRE_08g358568v5
Cre01.g025750.t1.1	CHLRE_01g025750v5
Cre10.g466950.t1.1	CHLRE_10g466950v5
Cre03.g206202.t1.1	CHLRE_03g206201v5
Cre12.g488150.t1.1	CHLRE_12g488150v5
Cre08.g373364.t1.1	CHLRE_08g373363v5
Cre09.g400886.t1.1	CHLRE_09g400851v5
Cre09.g414750.t1.1	CHLRE_09g414700v5
Cre07.g312550.t1.1	CHLRE_07g312500v5
Cre03.g194600.t1.1	CHLRE_03g194600v5
Cre11.g476026.t1.1	CHLRE_11g476026v5
Cre12.g553400.t1.1	CHLRE_12g553400v5
Cre06.g309850.t1.1	CHLRE_06g309826v5
Cre03.g206481.t1.1	CHLRE_03g206452v5
Cre08.g379100.t1.1	CHLRE_08g379050v5
Cre11.g467764.t1.1	CHLRE_11g467764v5
Cre01.g006576.t1.1	CHLRE_01g006576v5
Cre07.g319250.t1.1	CHLRE_07g319226v5
Cre01.g032900.t1.1	CHLRE_01g032900v5
Cre17.g702300.t1.1	CHLRE_17g702300v5
Cre15.g637000.t1.1	CHLRE_15g637000v5
Cre13.g565311.t1.1	CHLRE_13g565311v5
Cre02.g079351.t1.1	CHLRE_02g079351v5
Cre02.g093350.t1.1	CHLRE_02g093350v5
