"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CHLRE_04g214433v5",3101.39398681178,-1.43360968977502,0.135772393243781,-3.19365137061752,0.00140485663796573,0.022693655454166
"CHLRE_02g095146v5",441.873402939205,-1.47552628300876,0.139726118770065,-3.40327411363431,0.000665834439473194,0.0117047329865481
"CHLRE_09g396772v5",929.488103881507,-1.47717070930024,0.159477367456238,-2.99209045716897,0.0027707415078703,0.0414657293267037
"CHLRE_11g467617v5",1044.22977970733,-1.5432877861545,0.1535128623944,-3.53903756128723,0.000401588706786206,0.00745707340387667
"CHLRE_07g355550v5",597.405618933606,-1.54871463608297,0.159195546393015,-3.44679639924301,0.000567275918459429,0.0101476463710186
"CHLRE_09g396475v5",201.662703155317,-1.56544838898021,0.160974325383126,-3.51266195795146,0.000443641527170773,0.0081744584283894
"CHLRE_16g692500v5",261.063240025189,-1.58115591037918,0.167536126505317,-3.46883936319691,0.000522711892667375,0.00944932670997751
"CHLRE_12g537641v5",440.403061774525,-1.5841717489224,0.164228130004224,-3.55707483795486,0.000375007348348123,0.00704557027947564
"CHLRE_16g676350v5",350.271411410189,-1.58463480227706,0.130304780658303,-4.48667193424119,7.23443396421452e-06,0.000198231782234337
"CHLRE_17g708800v5",379.874450428499,-1.59750351110156,0.20370120100229,-2.93323509219192,0.00335449781971427,0.0483847098792272
"CHLRE_12g537550v5",178.802315909319,-1.65073541724191,0.188822004951183,-3.44629015781369,0.000568339766079749,0.0101476463710186
"CHLRE_05g241635v5",935.739931412984,-1.65635003838422,0.214935869626668,-3.05370173682161,0.00226036687918499,0.0346408469000738
"CHLRE_16g655350v5",221.528160452923,-1.65902730586202,0.190204582870282,-3.46483400093189,0.000530558859226815,0.00957308371846421
"CHLRE_12g547400v5",418.885217939508,-1.66100775299523,0.15573226391102,-4.24451386241264,2.19067825472755e-05,0.000542732024610352
"CHLRE_07g312100v5",156.242573489185,-1.67830545469765,0.209262030989842,-3.24141676102998,0.00118937162891214,0.0194759604234363
"CHLRE_14g624850v5",175.502303870171,-1.68077041721346,0.208537151803183,-3.26450424457684,0.0010965582001999,0.0181739793215106
"CHLRE_02g092400v5",639.780689420773,-1.6903205851919,0.146983994998766,-4.69656975371838,2.64566913039054e-06,7.83298262969805e-05
"CHLRE_17g742450v5",673.963664600499,-1.72974108601061,0.188528645994497,-3.87071727037126,0.000108515590586047,0.00233198784893115
"CHLRE_03g208558v5",272.868951517746,-1.73536057286545,0.207270436101705,-3.54783145486614,0.000388416689538679,0.0072406019533302
"CHLRE_06g293516v5",650.926694503974,-1.73794620144696,0.201380769151234,-3.66443233163326,0.000247887764595128,0.0048776763226815
"CHLRE_01g023000v5",126.274802171227,-1.73879777887256,0.250571836652984,-2.94844699524518,0.00319374902511261,0.0467000335277551
"CHLRE_07g348550v5",264.939864945018,-1.75027328415984,0.162678007714918,-4.61201421568086,3.98785714319208e-06,0.000114179275030976
"CHLRE_06g262050v5",636.789454404024,-1.7595657455477,0.198877114783338,-3.81927174665214,0.000133846247039513,0.00278254708791056
"CHLRE_03g154600v5",835.359382267695,-1.76558921094462,0.175597394522497,-4.35991213324371,1.30114679507697e-05,0.000341837000036292
"CHLRE_16g694203v5",2874.32129041965,-1.76702387738526,0.24079019520063,-3.18544480910512,0.00144531669241603,0.0231905428348565
"CHLRE_10g453350v5",477.1159395048,-1.76903315703761,0.196348769065167,-3.91666910212393,8.97808463784187e-05,0.00195574996336405
"CHLRE_09g406350v5",254.201099938709,-1.77060853823443,0.231801150908108,-3.32443792973192,0.000885969527866339,0.0151837394175373
"CHLRE_12g535400v5",182.31337760178,-1.78210558145887,0.196803015790667,-3.97405282798498,7.06598799622803e-05,0.00158777767073343
"CHLRE_15g635067v5",578.395252615969,-1.78228938247101,0.153489464983551,-5.09669756523581,3.45629833808704e-07,1.22416966693061e-05
"CHLRE_17g732000v5",10123.8908024623,-1.80735866179249,0.215954274293741,-3.738563010308,0.000185075108970351,0.00374973149805818
"CHLRE_16g649550v5",500.872237101797,-1.81111743942243,0.259673423479574,-3.12360590681024,0.00178649559630785,0.0283321018034693
"CHLRE_06g278147v5",704.506363549925,-1.81658734367611,0.242118634729881,-3.37267449317616,0.000744419007263894,0.012966992652941
"CHLRE_09g387700v5",2542.61972705454,-1.82084563197755,0.265050796949706,-3.09693704536684,0.00195531394316565,0.0306535528499887
"CHLRE_06g305650v5",178.515466559518,-1.828932139389,0.271868309886162,-3.04902082826826,0.00229588563542748,0.0351288869305488
"CHLRE_03g144867v5",1265.23126217382,-1.83880012171532,0.174029570779118,-4.81987123199852,1.43650911038241e-06,4.40299250723943e-05
"CHLRE_06g275000v5",1900.15266310226,-1.84347325210942,0.198803635230109,-4.24274561746886,2.20801671447391e-05,0.00054561405272646
"CHLRE_05g244250v5",88.4554974120276,-1.84883352830875,0.288515941938446,-2.94206802787295,0.0032602829698023,0.0474552298937891
"CHLRE_02g147302v5",228.234010559487,-1.85021328507398,0.28249810081461,-3.00962478198015,0.00261570608525153,0.0392684415906756
"CHLRE_10g439350v5",223.618166681915,-1.85155267292551,0.256519009002928,-3.31964744537037,0.000901311943238401,0.0154190449252036
"CHLRE_04g214503v5",288.286606525803,-1.85211618453531,0.160263733713074,-5.31696201500509,1.05514084365536e-07,4.05233409151656e-06
"CHLRE_11g477950v5",396.863975948147,-1.85791234033229,0.260981280126826,-3.28725623506552,0.00101168734336682,0.0169242342339015
"CHLRE_09g386736v5",116.580335032772,-1.86239098413932,0.274611174279391,-3.14040747395779,0.0016871299193658,0.0269799722723998
"CHLRE_16g655316v5",268.265629781662,-1.86262764495796,0.197834975671702,-4.36033942951246,1.29860846055467e-05,0.000341837000036292
"CHLRE_10g430450v5",794.521647610416,-1.86273904853994,0.223255998763528,-3.86434878936333,0.000111385965420979,0.00238477965324574
"CHLRE_08g383350v5",371.57859248045,-1.86510618274198,0.188877913608516,-4.58024004085024,4.64442571608614e-06,0.000131794193243121
"CHLRE_03g167101v5",213.263200818247,-1.86951016863796,0.294727465505854,-2.95021764308792,0.00317550149271035,0.0465043197163691
"CHLRE_02g095044v5",1241.37954348336,-1.87179829102726,0.291639140382569,-2.98930483022151,0.00279613018419723,0.0417803014866845
"CHLRE_16g680454v5",353.618934866905,-1.88355223016841,0.251934019827714,-3.50707788798287,0.000453056517078253,0.0082999606758991
"CHLRE_08g362076v5",303.999972034606,-1.90821744312524,0.293129847930245,-3.09834515160449,0.00194604638292067,0.0305583605252387
"CHLRE_06g311150v5",242.246350633147,-1.9088765812242,0.184784506359011,-4.91857569193804,8.71762070810252e-07,2.81643941998596e-05
"CHLRE_11g469350v5",171.130634974034,-1.91403105490236,0.249672367649218,-3.66092196548777,0.000251309297609799,0.00493484766538502
"CHLRE_03g190100v5",1527.43819889564,-1.91635325028292,0.130712083863248,-7.01047082411761,2.37517470327757e-12,1.67013203584143e-10
"CHLRE_10g425200v5",293.427468507568,-1.91804536624123,0.312509731811879,-2.93765368815416,0.00330706211407098,0.0479173257528194
"CHLRE_06g249700v5",263.874729661987,-1.92200859265523,0.220451308770328,-4.18236842320497,2.88487978953862e-05,0.000698433048793868
"CHLRE_16g650800v5",736.784468870596,-1.92400530053578,0.204357732971435,-4.52150886144807,6.14003890825596e-06,0.000170194759651165
"CHLRE_09g402900v5",606.388081934594,-1.92502224423748,0.286520959750283,-3.22846274507695,0.00124457468699257,0.0202412716525679
"CHLRE_03g154726v5",118.488074418505,-1.92685778693703,0.213982598059648,-4.33146337759049,1.48121586932637e-05,0.000384914873868698
"CHLRE_11g467573v5",15031.7907101616,-1.93289547569967,0.183114332139623,-5.09460654881095,3.49466251682689e-07,1.23319031912972e-05
"CHLRE_09g394400v5",11166.0310152996,-1.93371525344059,0.135982159973907,-6.86645405264751,6.58173612389056e-12,4.37091267727538e-10
"CHLRE_09g387850v5",2539.6902961059,-1.93713096038951,0.217705175312027,-4.30458742676355,1.67297216613331e-05,0.000428917770100077
"CHLRE_13g586916v5",1144.67992685279,-1.94395978921776,0.179619568532836,-5.25532823026016,1.47760706037683e-07,5.51967043686862e-06
"CHLRE_06g259350v5",290.681089691511,-1.94601322057765,0.292559796653103,-3.23357218387518,0.00122252437303297,0.0199165256887808
"CHLRE_02g103400v5",204.442117789306,-1.94722842987789,0.207297800165631,-4.56940898128709,4.8910151775277e-06,0.000138381000422182
"CHLRE_02g098850v5",1238.16110176835,-1.94840352268494,0.26309447403007,-3.60480213878055,0.000312390833996895,0.00598676061224911
"CHLRE_12g555803v5",856.722711963141,-1.95310751371064,0.156773705129275,-6.0795113117006,1.2054937824163e-09,6.0674405480248e-08
"CHLRE_17g727600v5",280.791569180132,-1.95447421613375,0.223198707223308,-4.27634294126448,1.89988481743319e-05,0.000476573468831662
"CHLRE_06g275950v5",820.784837561893,-1.95607467851357,0.260302760253477,-3.67293330882302,0.000239782078968177,0.00472790932200552
"CHLRE_05g230804v5",243.153274846251,-1.96402732804628,0.270556208605607,-3.56313142106288,0.000366457099216598,0.00691208923039117
"CHLRE_16g675602v5",730.949067347519,-1.96574710083646,0.1136057306264,-8.50086606997305,1.88181384083706e-17,1.97755887471701e-15
"CHLRE_03g177500v5",1083.05739275731,-1.97325230814185,0.143896730261028,-6.76354706862606,1.34653599928107e-11,8.81981079529102e-10
"CHLRE_13g575400v5",408.421362386875,-1.9762334676404,0.319686961495874,-3.05371687063002,0.00226025286477098,0.0346408469000738
"CHLRE_13g576466v5",743.40362691434,-1.97654406394849,0.123158415752441,-7.9291703939374,2.20614672848387e-15,2.08884962024666e-13
"CHLRE_16g662350v5",188.940008293662,-1.97787960936183,0.303554120612573,-3.22143414620257,0.00127550771301417,0.0207091345663064
"CHLRE_02g119751v5",891.42978832702,-1.98508969395041,0.167920383977798,-5.86640925071167,4.45333822822561e-09,2.05735620659524e-07
"CHLRE_12g522500v5",258.346431823891,-1.9933145951465,0.322789539665888,-3.07728248001672,0.00208897237414168,0.0322727670661016
"CHLRE_10g421700v5",261.323343099146,-2.01350049850542,0.231397999733339,-4.37990172634755,1.18732843085829e-05,0.000314526919232626
"CHLRE_09g393506v5",1373.88791889922,-2.02496646157808,0.2397080066549,-4.27589581124709,1.90370244791064e-05,0.000476573468831662
"CHLRE_11g467717v5",170.087136713977,-2.02783694084332,0.205480399220989,-5.002116721303,5.67042395795754e-07,1.91612241377908e-05
"CHLRE_11g468250v5",155.338320805501,-2.03806918954307,0.341402269822638,-3.04060424109762,0.00236103946449259,0.0359766855404587
"CHLRE_03g157850v5",153.604655153213,-2.04027109755858,0.298806624314613,-3.4814191283232,0.000498764369443868,0.00905063314040172
"CHLRE_16g686286v5",50.0291056620756,-2.04215647482371,0.343652111169212,-3.03259151028629,0.00242463569611524,0.0367461032677497
"CHLRE_14g632767v5",57.7005807737956,-2.0460088645336,0.345200628268994,-3.03014762684183,0.00244434229568841,0.036986147743146
"CHLRE_14g621751v5",407.748161000932,-2.04616890946448,0.213112483155636,-4.90899873143734,9.15425703008893e-07,2.94754747403166e-05
"CHLRE_03g170001v5",165.796616161227,-2.05017094271814,0.317947083613071,-3.30297397536804,0.000956652657029315,0.0161919811666749
"CHLRE_05g238650v5",3060.31876024069,-2.07090189733393,0.337590057697695,-3.17219619747482,0.00151290759402601,0.0242343975237366
"CHLRE_12g513900v5",291.517987753966,-2.07139887426092,0.235446629818291,-4.55049569020285,5.35196834473628e-06,0.000150531980237391
"CHLRE_12g519050v5",494.371005874379,-2.07195424340852,0.213078781379834,-5.03078831438242,4.88467233269713e-07,1.66829005419938e-05
"CHLRE_13g583400v5",161.899555192349,-2.07274400613323,0.335162322426599,-3.20067004658069,0.00137108439850001,0.0221855839303816
"CHLRE_09g402923v5",423.757303788692,-2.07848150046761,0.274523561057553,-3.92855715667155,8.54570412229942e-05,0.00186721406429237
