"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CHLRE_17g742132v5",479.894489007927,-1.92489382133028,0.225356438072413,-4.10413755755709,4.05825953678314e-05,0.00267159612614042
"CHLRE_06g292216v5",2055.79808473026,-1.93933860790351,0.249828786922818,-3.75992942796341,0.000169961296054394,0.00910779016684268
"CHLRE_07g325727v5",123.499101528912,-1.96703577526231,0.254924370553328,-3.79342223406615,0.000148585179500767,0.00822537161293164
"CHLRE_11g467594v5",565.661721114097,-2.04217314398624,0.214748599910046,-4.85299156512677,1.21612865231867e-06,0.000133131926511694
"CHLRE_09g406550v5",819.053280765864,-2.0494225713053,0.244615558956705,-4.2900892150161,1.78601356117519e-05,0.00132833054400991
"CHLRE_15g639800v5",87.790944409795,-2.05154433912893,0.311042616747755,-3.3807082454611,0.000722992660976385,0.0323124655774905
"CHLRE_07g319500v5",106.634147945703,-2.08534362696154,0.325533442484407,-3.33404647669504,0.000855923546993628,0.0372712602096158
"CHLRE_06g256000v5",206.655097512951,-2.16350358639167,0.259656876893254,-4.48092729263624,7.43194283788073e-06,0.000646512670263143
"CHLRE_07g325740v5",1685.20791497791,-2.21441486831933,0.250929972293819,-4.83965648749742,1.30063743839832e-06,0.00013925396222324
"CHLRE_16g668450v5",101.603339804119,-2.25454874369142,0.376319862558368,-3.33372980942997,0.000856898520676787,0.0372712602096158
"CHLRE_02g099750v5",212.9460599975,-2.26079229982564,0.319447749290024,-3.94678723712333,7.92068840529257e-05,0.00476365846498553
"CHLRE_12g546600v5",19274.4373378002,-2.27466627435878,0.200361418542029,-6.36183494623941,1.99357608021969e-10,1.02228482892529e-07
"CHLRE_13g568500v5",446.286189423705,-2.29023159472801,0.3331865706453,-3.87239975557582,0.000107769005056583,0.00624996081110888
"CHLRE_10g425150v5",92.3156855287489,-2.36752432406112,0.269937872469558,-5.06607061673179,4.06111313598627e-07,5.73440946143684e-05
"CHLRE_05g248250v5",396.818627639206,-2.38317069831155,0.320988308862452,-4.30909992707635,1.6392029654126e-05,0.00123804298387713
"CHLRE_16g684861v5",86.0670832672422,-2.42812635455672,0.431218395514982,-3.31184005462286,0.000926845200744302,0.0394334183006626
"CHLRE_05g236216v5",57.5705859303129,-2.43132250110504,0.427641493962772,-3.34701501447294,0.000816867858479453,0.0358501961493933
"CHLRE_02g101900v5",37.2352083463736,-2.53704264787884,0.444176858895288,-3.46042936973712,0.000539314693459415,0.0250216336113099
"CHLRE_11g467611v5",132.820222534651,-2.56140327351331,0.337312759874701,-4.62894814324045,3.67527780615468e-06,0.000347652734615195
"CHLRE_12g546550v5",1987.85265939956,-2.65823558267107,0.344241448570147,-4.8170712433345,1.45680684526164e-06,0.000146496650640164
"CHLRE_17g714350v5",104.802580780818,-2.67017407985299,0.410653382764091,-4.06711389691012,4.75989819830916e-05,0.00303109072850498
"CHLRE_01g055424v5",50.6547280953257,-2.71812555591844,0.401928379990791,-4.27470574722245,1.91389894117285e-05,0.00140203890104113
"CHLRE_10g422718v5",77.9937399718229,-2.74660494574279,0.427249761543161,-4.08801853846407,4.35073392806914e-05,0.00282594671074518
"CHLRE_14g620702v5",6851.84213994023,-2.75635009014645,0.308714722698434,-5.68923333100033,1.27611001518929e-08,4.44040709928189e-06
"CHLRE_02g109683v5",321.747299644916,-2.7870393482441,0.396034135165235,-4.51233666385475,6.41173075389523e-06,0.000573114612249553
"CHLRE_06g299150v5",91.2486804787231,-2.79181057104189,0.469273490040095,-3.81826506093237,0.000134393486888682,0.00752526288940477
"CHLRE_16g676085v5",50.6086026005239,-2.83457581856254,0.470152450270477,-3.90208711558797,9.53668205118208e-05,0.00563126625604043
"CHLRE_11g467800v5",41.4891560119318,-2.85286427399461,0.431182381665083,-4.29717064699969,1.72992018720095e-05,0.00129650864491529
"CHLRE_06g271550v5",55.778558228649,-3.20144986786777,0.637327821219452,-3.45418761675201,0.000551953244732012,0.0254866372674123
"CHLRE_16g650625v5",58.9466739218365,-3.20943695982462,0.671191378938529,-3.29181367513806,0.000995435385370772,0.0412703274879465
"CHLRE_10g459650v5",85.8756141738981,-3.22965754463712,0.414174470096668,-5.3833775512931,7.31009823410374e-08,1.97839686374647e-05
"CHLRE_02g074850v5",133.828264491935,-3.29707613840314,0.377523449582468,-6.08459193976866,1.16788370261969e-09,4.9472569194016e-07
"CHLRE_09g391352v5",34.6427476219987,-3.32922829142398,0.631209139446189,-3.69010545928977,0.000224161103577748,0.0118695740878152
"CHLRE_07g314351v5",22.8288101958459,-3.36811085682563,0.677079852593019,-3.49753555323859,0.000469578118051777,0.0221019304549684
"CHLRE_15g634600v5",95.0046786029168,-3.4381074503713,0.480420699503445,-5.07494255116669,3.87613092057852e-07,5.72199144836311e-05
"CHLRE_07g325718v5",77.928291899929,-3.49112113602808,0.686833460453117,-3.62696531177244,0.000286771801865835,0.0146283647412504
"CHLRE_14g631451v5",201.277913955076,-3.54181831452109,0.739970481461575,-3.43502663714441,0.000592495586377651,0.0271018051552932
"CHLRE_02g078400v5",82.4262493790894,-3.56885344362738,0.492218383223586,-5.21893031870063,1.79959447573575e-07,3.6528018702278e-05
"CHLRE_12g494650v5",104.832759196142,-3.57116149907635,0.680245545974672,-3.77975499331249,0.000156982753499634,0.00859260094015131
"CHLRE_02g078777v5",282.731471860673,-3.59107150923973,0.386098980329665,-6.71089964295525,1.93428111838042e-11,1.25638006242536e-08
"CHLRE_03g157200v5",89.0177769040632,-3.61809916203356,0.607430547864306,-4.31012100270337,1.63165241619906e-05,0.00123804298387713
"CHLRE_11g480725v5",130.122401800045,-3.65764247881091,0.501958192572663,-5.29454946275469,1.19310193288471e-07,2.90609803302393e-05
"CHLRE_16g669500v5",37.2679217731795,-3.72397655298019,0.817488399738173,-3.33212869302198,0.00086184391869153,0.0373197568880515
"CHLRE_16g681750v5",349.110638479803,-3.72997098204221,0.362372001192659,-7.53361455371047,4.93546746313079e-14,8.01437658221387e-11
"CHLRE_23g754947v5",62.6086172693109,-3.73549945064274,0.689299127018449,-3.96852301623403,7.23194733741808e-05,0.0044315008118531
"CHLRE_13g574551v5",243.608692432473,-3.77342042076238,0.630878848601479,-4.39612205562202,1.1020198207288e-05,0.000894748259446728
"CHLRE_01g009101v5",199.026756863094,-3.82019145344547,0.691909251960277,-4.07595569137927,4.5825744916275e-05,0.00293736995210044
"CHLRE_07g352000v5",40.586794530902,-3.85726518827464,0.638671293053058,-4.47376486050591,7.68542553860905e-06,0.000656834219497088
"CHLRE_07g355433v5",24.805786902875,-4.01402397462595,0.78584971179362,-3.83536944710045,0.00012537569025149,0.00710194971000155
"CHLRE_08g358546v5",57.0619140278916,-4.05049325677336,0.511881452402105,-5.95937446543202,2.53205283630132e-09,9.8679163136335e-07
"CHLRE_17g745397v5",37.5870632696408,-4.09648853642967,0.653213923109397,-4.74038967462591,2.13307576494437e-06,0.000209924819978313
"CHLRE_12g492500v5",61.1901450145858,-4.16415402845046,0.785237463059396,-4.02955052109011,5.5883604910575e-05,0.00346798702320849
"CHLRE_03g200150v5",74.7630694547561,-4.33353928229208,0.517316025154989,-6.44391265724533,1.16432106772269e-10,6.67292950754245e-08
"CHLRE_03g175351v5",182.634263292482,-4.34315863783259,0.359978329136868,-9.28711082650055,1.58533126487486e-20,5.1486275045586e-17
"CHLRE_05g246300v5",33.3166251896335,-4.41067227374777,1.03144512144119,-3.30669291351361,0.000944043216533713,0.0398173725484328
"CHLRE_05g233051v5",74.1665767539278,-4.44186441485346,0.660662575372229,-5.20971603834869,1.89129868963806e-07,3.76059655778442e-05
"CHLRE_13g566550v5",30.6734011125979,-4.61888997581295,0.828649209224573,-4.36721586834,1.2584033996474e-05,0.000980849945821171
"CHLRE_01g064727v5",82.2670421181763,-4.74121349977689,0.667812950210477,-5.60218770629973,2.11663158893861e-08,6.65236824871901e-06
"CHLRE_04g217976v5",33.4640022257247,-4.74260293300206,1.09565083220075,-3.41587193931535,0.000635781384801958,0.0288050402863884
"CHLRE_16g681250v5",311.018489917983,-4.80365134570629,0.31509319123665,-12.0715123382326,1.49363813631758e-33,1.45525163621422e-29
"CHLRE_15g640901v5",19.972202161976,-4.99388286948864,1.14467850706605,-3.48908697493188,0.000484673420980819,0.0227027554837314
"CHLRE_01g045200v5",2012.06282970652,-5.02560547747267,0.594050980293281,-6.77653199980454,1.23094807194047e-11,9.22548235762771e-09
"CHLRE_22g754047v5",21.3351789123525,-5.08695019181413,1.25832423564713,-3.24793091957917,0.00116247490063514,0.0473890918698249
"CHLRE_21g753147v5",58.6601186352939,-5.24835189656938,0.86988023513088,-4.88383541204403,1.04041930400282e-06,0.000120676253320232
