Cre17.g742132.t1.1	CHLRE_17g742132v5
Cre06.g292249.t1.1	CHLRE_06g292216v5
Cre07.g325728.t1.1	CHLRE_07g325727v5
Cre11.g467594.t1.1	CHLRE_11g467594v5
Cre09.g406600.t1.1	CHLRE_09g406550v5
Cre15.g639800.t1.1	CHLRE_15g639800v5
Cre07.g319550.t1.1	CHLRE_07g319500v5
Cre06.g256050.t1.1	CHLRE_06g256000v5
Cre07.g325741.t1.1	CHLRE_07g325740v5
Cre16.g668450.t1.1	CHLRE_16g668450v5
Cre02.g099750.t1.1	CHLRE_02g099750v5
Cre12.g546600.t1.1	CHLRE_12g546600v5
Cre13.g568500.t1.1	CHLRE_13g568500v5
Cre10.g425200.t1.1	CHLRE_10g425150v5
Cre05.g248300.t1.1	CHLRE_05g248250v5
Cre16.g684861.t1.1	CHLRE_16g684861v5
Cre05.g236250.t1.1	CHLRE_05g236216v5
Cre02.g101900.t1.1	CHLRE_02g101900v5
Cre11.g467611.t1.1	CHLRE_11g467611v5
Cre12.g546550.t1.1	CHLRE_12g546550v5
Cre17.g714350.t1.1	CHLRE_17g714350v5
Cre01.g055424.t1.1	CHLRE_01g055424v5
Cre10.g422750.t1.1	CHLRE_10g422718v5
Cre14.g620702.t1.1	CHLRE_14g620702v5
Cre02.g109650.t1.1	CHLRE_02g109683v5
Cre06.g299200.t1.1	CHLRE_06g299150v5
Cre16.g676085.t1.1	CHLRE_16g676085v5
Cre11.g467800.t1.1	CHLRE_11g467800v5
Cre06.g271600.t1.1	CHLRE_06g271550v5
Cre16.g650625.t1.1	CHLRE_16g650625v5
Cre10.g459650.t1.1	CHLRE_10g459650v5
Cre02.g074850.t1.1	CHLRE_02g074850v5
Cre09.g391353.t1.1	CHLRE_09g391352v5
Cre07.g314400.t1.1	CHLRE_07g314351v5
Cre15.g634600.t1.1	CHLRE_15g634600v5
Cre07.g325719.t1.1	CHLRE_07g325718v5
Cre14.g631451.t1.1	CHLRE_14g631451v5
Cre02.g078400.t1.1	CHLRE_02g078400v5
Cre12.g494650.t1.1	CHLRE_12g494650v5
Cre02.g078777.t1.1	CHLRE_02g078777v5
Cre03.g157150.t1.1	CHLRE_03g157200v5
Cre11.g480725.t1.1	CHLRE_11g480725v5
Cre16.g669500.t1.1	CHLRE_16g669500v5
Cre16.g681750.t1.1	CHLRE_16g681750v5
Cre23.g754947.t1.1	CHLRE_23g754947v5
Cre13.g574551.t1.1	CHLRE_13g574551v5
Cre01.g009101.t1.1	CHLRE_01g009101v5
Cre07.g352075.t1.1	CHLRE_07g352000v5
Cre07.g355466.t1.1	CHLRE_07g355433v5
Cre08.g358547.t1.1	CHLRE_08g358546v5
Cre17.g745397.t1.1	CHLRE_17g745397v5
Cre12.g492500.t1.1	CHLRE_12g492500v5
Cre03.g200200.t1.1	CHLRE_03g200150v5
Cre03.g175351.t1.1	CHLRE_03g175351v5
Cre05.g246376.t1.1	CHLRE_05g246300v5
Cre05.g233052.t1.1	CHLRE_05g233051v5
Cre13.g566550.t1.1	CHLRE_13g566550v5
Cre01.g064727.t1.1	CHLRE_01g064727v5
Cre04.g217977.t1.1	CHLRE_04g217976v5
Cre16.g681250.t1.1	CHLRE_16g681250v5
Cre15.g640901.t1.1	CHLRE_15g640901v5
Cre01.g045200.t1.1	CHLRE_01g045200v5
Cre22.g754047.t1.1	CHLRE_22g754047v5
Cre21.g753147.t1.1	CHLRE_21g753147v5
Cre10.g448150.t1.1	CHLRE_10g448100v5
Cre07.g313550.t1.1	CHLRE_07g313500v5
Cre02.g114150.t1.1	CHLRE_02g114200v5
Cre17.g747947.t1.1	CHLRE_17g747947v5
Cre12.g548577.t1.1	CHLRE_12g548577v5
Cre06.g298200.t1.1	CHLRE_06g298150v5
Cre01.g016001.t1.1	CHLRE_01g016001v5
Cre02.g093252.t1.1	CHLRE_02g093252v5
Cre16.g677093.t1.1	CHLRE_16g677093v5
Cre02.g142807.t1.1	CHLRE_02g142827v5
Cre17.g704802.t1.1	CHLRE_17g704802v5
Cre02.g101600.t1.1	CHLRE_02g101600v5
Cre09.g388350.t1.1	CHLRE_09g388319v5
Cre02.g105000.t1.1	CHLRE_02g105026v5
Cre14.g622000.t1.1	CHLRE_14g622000v5
Cre17.g706550.t1.1	CHLRE_17g706550v5
Cre03.g201552.t1.1	CHLRE_03g201550v5
Cre08.g375301.t1.1	CHLRE_08g375250v5
Cre11.g467704.t1.1	CHLRE_11g467704v5
Cre16.g668481.t1.1	CHLRE_16g668481v5
Cre06.g258550.t1.1	CHLRE_06g258500v5
Cre17.g733026.t1.1	CHLRE_17g733026v5
Cre09.g400851.t1.1	CHLRE_09g400850v5
Cre16.g681600.t1.1	CHLRE_16g681600v5
Cre03.g163800.t1.1	CHLRE_03g163800v5
Cre08.g363383.t1.1	CHLRE_08g363367v5
Cre06.g306007.t1.1	CHLRE_06g306000v5
Cre14.g610850.t1.1	CHLRE_14g610850v5
Cre01.g053700.t1.1	CHLRE_01g053700v5
Cre12.g508643.t1.1	CHLRE_12g508643v5
Cre11.g478400.t1.1	CHLRE_11g478400v5
Cre10.g455551.t1.1	CHLRE_10g455500v5
Cre06.g273100.t1.1	CHLRE_06g273050v5
Cre03.g206481.t1.1	CHLRE_03g206452v5
Cre17.g734789.t1.1	CHLRE_17g734789v5
Cre14.g620951.t1.1	CHLRE_14g620951v5
Cre09.g404900.t1.1	CHLRE_09g404850v5
Cre04.g225100.t1.1	CHLRE_04g225050v5
Cre02.g147600.t1.1	CHLRE_02g147650v5
Cre16.g689759.t1.1	CHLRE_16g689759v5
Cre03.g199087.t1.1	CHLRE_03g199050v5
Cre09.g386730.t1.1	CHLRE_09g386700v5
Cre06.g292183.t1.1	CHLRE_06g292150v5
Cre02.g095142.t1.1	CHLRE_02g095142v5
Cre07.g319250.t1.1	CHLRE_07g319226v5
Cre16.g673450.t1.1	CHLRE_16g673450v5
Cre03.g208273.t1.1	CHLRE_03g208161v5
Cre09.g392988.t1.1	CHLRE_09g392951v5
Cre04.g225776.t1.1	CHLRE_04g225750v5
Cre11.g475700.t1.1	CHLRE_11g475700v5
Cre03.g205921.t1.1	CHLRE_03g205900v5
Cre09.g395176.t1.1	CHLRE_09g395150v5
Cre04.g223500.t1.1	CHLRE_04g223450v5
Cre12.g508853.t1.1	CHLRE_12g508853v5
Cre16.g670500.t1.1	CHLRE_16g670500v5
Cre14.g617200.t1.1	CHLRE_14g617200v5
Cre07.g328075.t1.1	CHLRE_07g328050v5
Cre05.g244200.t1.1	CHLRE_05g244150v5
Cre03.g166350.t1.1	CHLRE_03g166350v5
Cre08.g358575.t1.1	CHLRE_08g358574v5
Cre16.g682050.t1.1	CHLRE_16g682050v5
Cre06.g290400.t1.1	CHLRE_06g290350v5
Cre02.g144750.t1.1	CHLRE_02g144800v5
Cre08.g375084.t1.1	CHLRE_08g375050v5
Cre16.g677382.t1.1	CHLRE_16g677382v5
Cre16.g659750.t1.1	CHLRE_16g659750v5
Cre14.g627466.t1.1	CHLRE_14g627466v5
Cre01.g010800.t1.1	CHLRE_01g010800v5
Cre11.g467764.t1.1	CHLRE_11g467764v5
Cre17.g698332.t1.1	CHLRE_17g698332v5
Cre06.g252892.t1.1	CHLRE_06g252871v5
Cre12.g522626.t1.1	CHLRE_12g522626v5
Cre07.g354400.t1.1	CHLRE_07g354350v5
Cre03.g148201.t1.1	CHLRE_03g148250v5
Cre13.g603350.t1.1	CHLRE_13g603350v5
Cre13.g568950.t1.1	CHLRE_13g568950v5
Cre09.g403256.t1.1	CHLRE_09g403250v5
Cre17.g736950.t1.1	CHLRE_17g736950v5
Cre02.g075000.t1.1	CHLRE_02g075000v5
Cre16.g672050.t1.1	CHLRE_16g672050v5
Cre06.g309850.t1.1	CHLRE_06g309826v5
Cre04.g226100.t1.1	CHLRE_04g226050v5
Cre11.g467723.t1.1	CHLRE_11g467723v5
Cre16.g687630.t1.1	CHLRE_16g687630v5
Cre09.g399402.t1.1	CHLRE_09g399400v5
Cre02.g078939.t1.1	CHLRE_02g078939v5
Cre03.g146547.t1.1	CHLRE_03g146567v5
Cre17.g725950.t1.1	CHLRE_17g725950v5
Cre09.g417050.t1.1	CHLRE_09g417037v5
Cre06.g292315.t1.1	CHLRE_06g292282v5
Cre14.g625500.t1.1	CHLRE_14g625500v5
