Cre09.g414150.t1.1	CHLRE_09g414100v5
Cre12.g541211.t1.1	CHLRE_12g541211v5
Cre12.g507558.t1.1	CHLRE_12g507558v5
Cre01.g055457.t1.1	CHLRE_01g055457v5
Cre12.g550800.t1.1	CHLRE_12g550800v5
Cre15.g638954.t1.1	CHLRE_15g638954v5
Cre15.g641527.t1.1	CHLRE_15g641527v5
Cre06.g297250.t1.1	CHLRE_06g297200v5
Cre13.g585026.t1.1	CHLRE_13g585026v5
Cre03.g144344.t1.1	CHLRE_03g144364v5
Cre12.g544327.t1.1	CHLRE_12g544327v5
Cre05.g234661.t1.1	CHLRE_05g234660v5
Cre07.g342551.t1.1	CHLRE_07g342550v5
Cre03.g210513.t1.1	CHLRE_03g210401v5
Cre06.g302950.t1.1	CHLRE_06g302900v5
Cre05.g239450.t1.1	CHLRE_05g239400v5
Cre16.g657200.t1.1	CHLRE_16g657200v5
Cre04.g226600.t1.1	CHLRE_04g226550v5
Cre02.g076987.t1.1	CHLRE_02g076987v5
Cre03.g197150.t1.1	CHLRE_03g197150v5
Cre07.g336900.t1.1	CHLRE_07g336850v5
Cre19.g751047.t1.1	CHLRE_19g751047v5
Cre09.g394200.t1.1	CHLRE_09g394176v5
Cre09.g413150.t1.1	CHLRE_09g413141v5
Cre06.g278246.t1.1	CHLRE_06g278245v5
Cre09.g396500.t1.1	CHLRE_09g396475v5
Cre06.g258800.t1.1	CHLRE_06g258733v5
Cre17.g705500.t1.1	CHLRE_17g705500v5
